,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2008-07-11,11.5,11.96,11.32,11.67,10.7272073913,20194000,0.0000,1.0,15.9741,15.1739,20.2901,7.4798,13.0876,-0.6671,-2.4664,-1.7993,31.0169,-119.6795,0.0000,100.0000,15.9741,9.3387,22.6095,-628986914.9927,653918784.0000
2008-07-10,11.85,12.02,11.57,11.79,10.8375128657,26424800,0.0000,1.0,16.4203,15.6420,20.4904,4.1935,6.2678,-0.7459,-2.3784,-1.6325,29.4217,-141.4858,0.0000,100.0000,16.4203,10.0617,22.7790,-630880102.4917,674112784.0000
2008-07-09,12.06,12.24,11.8151,11.82,10.8650892344,35329200,0.0000,1.0,16.8551,16.1477,20.5386,2.9550,3.0841,-0.7967,-2.2427,-1.4461,27.7866,-173.0038,0.0000,90.0000,16.8551,10.9070,22.8033,-630292884.7056,700537584.0000
2008-07-08,12.15,12.48,11.8,12.03,11.0581238147,45132200,0.0000,1.0,17.3363,16.7038,20.8647,5.1347,3.2284,-0.7928,-2.0397,-1.2469,26.1080,-216.7229,0.0000,95.0000,17.3363,11.8665,22.8062,-595778526.2200,735866784.0000
2008-07-07,12.7,12.76,11.76,12.1,11.1224686748,55067300,0.0000,1.0,17.8722,17.2980,20.9701,7.8999,2.5524,-0.7219,-1.7706,-1.0487,24.3411,-273.4776,0.0000,100.0000,17.8722,12.8893,22.8552,-581176932.1086,780998984.0000
2008-07-03,12.98,13.13,12.4,12.49,11.4809614668,74688000,0.0000,1.0,18.4219,17.9481,21.5465,14.3282,9.6233,-0.5397,-1.4079,-0.8682,22.4812,-316.6342,0.0000,100.0000,18.4219,14.1661,22.6777,-563555396.1148,836066284.0000
2008-07-02,18.66,18.78,18.0,18.03,16.5733975377,19079900,0.0000,1.0,18.9900,18.6288,34.2494,15.5770,11.5239,-0.2277,-0.9610,-0.7333,20.6255,-110.4766,5.0000,100.0000,18.9900,15.6593,22.3207,-507283615.3032,910754284.0000
2008-07-01,18.55,18.77,18.16,18.75,17.2352303845,22036600,0.0000,1.0,19.2754,18.8452,36.9382,23.4646,21.8374,-0.2187,-0.8951,-0.6764,20.1566,-105.7849,10.0000,100.0000,19.2754,15.8451,22.7057,-489671399.9178,929834184.0000
2008-06-30,19.06,19.23,18.59,18.72,17.2076540158,16348500,0.0000,1.0,19.5149,19.0147,36.7416,29.2197,13.3696,-0.2436,-0.8653,-0.6217,19.7314,-101.0102,15.0000,100.0000,19.5149,16.0197,23.0101,-510262976.9705,907797584.0000
2008-06-27,19.13,19.39,18.71,19.28,17.7224128967,14603500,0.0000,1.0,19.7943,19.2049,38.8914,38.6357,35.1869,-0.2512,-0.8119,-0.5608,19.4704,-96.8190,20.0000,100.0000,19.7943,16.1897,23.3989,-500556055.0935,924146084.0000
2008-06-26,19.5,19.65,19.065,19.07,17.5293783164,21138300,0.0000,1.0,20.0434,19.3609,37.5905,34.8956,39.1025,-0.2864,-0.7844,-0.4980,19.2484,-98.6128,25.0000,100.0000,20.0434,16.3583,23.7286,-510434893.3324,909542584.0000
2008-06-25,20.3,20.45,19.78,20.1,18.4761669721,22524400,0.0000,1.0,20.2479,19.5537,41.7299,27.2444,41.6178,-0.2919,-0.7182,-0.4264,19.1704,-75.9072,30.0000,90.0000,20.2479,16.6918,23.8041,-489657931.7990,930680884.0000
2008-06-24,19.25,20.45,19.24,19.99,18.3750536205,26973200,0.0000,1.0,20.4079,19.6672,41.0715,19.3030,23.9666,-0.3663,-0.7197,-0.3534,19.4225,-92.1208,35.0000,95.0000,20.4079,16.8975,23.9183,-488649376.5757,908156484.0000
2008-06-23,19.93,19.93,19.18,19.35,17.7867577568,19415400,0.0000,1.0,20.5628,19.8032,37.1464,15.3144,16.1489,-0.4390,-0.7008,-0.2618,19.6878,-120.6110,40.0000,100.0000,20.5628,17.1529,23.9727,-495114027.8138,881183284.0000
2008-06-20,19.695,19.98,19.41,19.76,18.1636347945,18525200,0.0000,1.0,20.7356,20.0154,38.7158,13.1667,17.7934,-0.4545,-0.6066,-0.1521,19.6330,-129.4720,45.0000,95.0000,20.7356,17.5640,23.9072,-484500275.8181,900598684.0000
