,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Down,Aroon Up,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2015-12-03,85.05,85.1,82.1,82.59,82.59,23019635,0.0000,1.0,80.9565,80.8664,58.5219,76.3607,83.6871,0.0361,1.9801,1.9439,19.0263,74.3300,35.0000,5.0000,80.9565,86.1394,75.7736,-214144957.6812,259556831.0000
2015-12-02,84.27,85.82,84.25,85.0,85.0,36607966,0.0000,1.0,81.0970,80.6850,64.3868,90.3110,85.3339,0.1402,2.0751,1.9349,19.2619,122.1961,40.0000,10.0000,81.0970,86.5923,75.6017,-198645070.1145,282576466.0000
2015-12-01,83.77,84.39,83.5,84.0,84.0,26215397,0.0000,1.0,81.0190,80.2308,62.9221,84.3897,80.7173,0.0210,1.9209,1.8999,18.9883,94.7828,45.0000,15.0000,81.0190,86.3318,75.7062,-197012867.8088,245968500.0000
2015-11-30,81.5,84.47,81.38,84.08,84.08,97881744,0.0000,1.0,81.0365,79.8340,63.1194,81.3011,79.8215,-0.0967,1.7979,1.8946,18.9303,74.2792,50.0000,20.0000,81.0365,86.3906,75.6824,-200252973.0560,272183897.0000
2015-11-27,80.57,81.41,79.275,81.38,81.38,12600339,0.0000,1.0,81.0240,79.3871,58.9971,76.4612,80.1389,-0.3121,1.6067,1.9188,18.8692,-8.2240,55.0000,25.0000,81.0240,86.3507,75.6973,-273426704.0074,174302153.0000
2015-11-25,80.91,82.675,80.82,81.71,81.71,16329710,0.0000,1.0,81.0660,79.1773,59.7728,81.7021,80.4645,-0.3827,1.6141,1.9968,19.3336,22.2175,60.0000,30.0000,81.0660,86.4165,75.7155,-285672935.1198,186902492.0000
2015-11-24,80.85,81.11,79.27,80.86,80.86,15280077,0.0000,1.0,81.0980,78.9107,58.4355,82.2535,74.2375,-0.5260,1.5665,2.0925,19.4507,-17.9317,65.0000,35.0000,81.0980,86.4711,75.7249,-285012704.2573,170572782.0000
2015-11-23,80.45,82.19,79.97,81.31,81.31,18762369,0.0000,1.0,81.0270,78.7055,59.4291,77.4377,62.6046,-0.6545,1.5695,2.2240,19.8612,5.4243,0.0000,40.0000,81.0270,86.4481,75.6059,-296140586.4203,185852859.0000
2015-11-20,78.44,80.785,78.4,79.95,79.95,21024023,0.0000,1.0,80.7790,78.4314,57.3468,63.0213,49.8324,-0.8829,1.5047,2.3876,20.1242,-28.5662,0.0000,45.0000,80.7790,86.5670,74.9910,-300028284.5014,167090490.0000
2015-11-19,78.06,79.15,77.403,77.87,77.87,15689060,0.0000,1.0,80.5625,78.2715,53.9096,47.3547,37.4769,-1.0697,1.5386,2.6083,20.6611,-59.2348,0.0000,50.0000,80.5625,86.7673,74.3577,-306331083.8494,146066467.0000
