,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2014-09-24,102.16,102.85,101.2,101.75,23.0360937623,59725174,0.0000,1.0,22.8541,22.8152,57.9821,66.8778,64.7553,0.2047,-0.0097,0.2143,23.8014,54.9667,20.0000,45.0000,22.1507,23.5575,22.8541,68806045377.3766,90697077598.0000
2014-09-23,100.6,102.94,100.54,102.64,23.237588833,63347200,0.0000,1.0,22.8443,22.7919,61.4281,66.6588,62.9221,0.2098,-0.0070,0.2168,24.1582,65.6590,25.0000,50.0000,22.1459,23.5427,22.8443,68885678942.6246,90935978294.0000
2014-09-22,101.8,102.14,100.58,101.06,22.8798784827,52722000,0.0000,1.0,22.8319,22.7450,57.1311,60.7293,62.1443,0.1928,-0.0257,0.2185,24.5339,20.0099,30.0000,55.0000,22.1533,23.5104,22.8319,68695637342.6479,90682589494.0000
2014-09-19,102.29,102.35,100.88,100.96,22.8572385871,70838500,0.0000,1.0,22.8348,22.7308,56.8421,61.3782,64.3869,0.2047,-0.0202,0.2249,25.1469,29.4731,35.0000,60.0000,22.1550,23.5147,22.8348,68776748111.9155,90471701494.0000
2014-09-18,101.93,102.35,101.56,101.79,23.0451497205,37023900,0.0000,1.0,22.8305,22.7175,60.0342,64.3254,68.0660,0.2192,-0.0108,0.2300,25.6848,63.2450,40.0000,65.0000,22.1502,23.5108,22.8305,69029260860.1696,90755055494.0000
2014-09-17,101.27,101.8,100.5922,101.58,22.9976059398,60892400,0.0000,1.0,22.8167,22.6830,59.4873,67.4571,72.7209,0.2154,-0.0172,0.2327,26.0062,32.8325,45.0000,70.0000,22.1432,23.4902,22.8167,69091123579.1045,90606959894.0000
2014-09-16,99.8,101.26,98.89,100.86,22.8345986915,66818200,0.0000,1.0,22.8048,22.6499,57.5976,72.4156,75.3233,0.2123,-0.0247,0.2370,26.4804,-26.2690,50.0000,75.0000,22.1361,23.4735,22.8048,68936286073.8050,90363390294.0000
2014-09-15,102.81,103.05,101.44,101.63,23.0089258876,61216500,0.0000,1.0,22.7856,22.6305,60.4630,78.2901,70.3467,0.2218,-0.0213,0.2432,27.1144,80.6448,55.0000,80.0000,22.0995,23.4717,22.7856,68759231940.5087,90630663094.0000
2014-09-12,101.21,102.19,101.08,101.66,23.0157178562,62626100,0.0000,1.0,22.7443,22.5906,60.5745,75.2642,56.0070,0.2130,-0.0355,0.2485,26.8137,65.6429,60.0000,85.0000,22.0186,23.4699,22.7443,68946303480.7754,90875529094.0000
2014-09-11,100.41,101.44,99.62,101.43,22.9636460964,62353100,0.0000,1.0,22.6972,22.5459,60.0376,57.4859,37.0984,0.1980,-0.0594,0.2573,26.6891,30.1663,65.0000,0.0000,21.9272,23.4672,22.6972,68935019498.8904,90625024694.0000
2014-09-10,98.01,101.11,97.76,101.0,22.8662945453,100741900,0.0000,1.0,22.6497,22.5019,59.0470,35.2709,21.8207,0.1812,-0.0910,0.2722,26.7335,-3.8583,70.0000,0.0000,21.8356,23.4638,22.6497,68688347894.4236,90375612294.0000
2014-09-09,99.08,103.08,96.14,97.99,22.1848336881,189560600,0.0000,1.0,22.5928,22.4636,50.9640,18.5386,13.6587,0.1670,-0.1279,0.2949,26.8586,-31.2439,75.0000,0.0000,21.6925,23.4931,22.5928,68311843838.3572,89972644694.0000
2014-09-08,99.3,99.31,98.05,98.36,22.2686013018,46277800,0.0000,1.0,22.5702,22.4929,52.1664,11.6527,18.3736,0.2159,-0.1110,0.3269,26.9903,-39.7395,80.0000,0.0000,21.6092,23.5311,22.5702,68665835967.4664,90730887094.0000
2014-09-05,98.8,99.39,98.31,98.97,22.4067046649,58353200,0.0000,1.0,22.5292,22.5165,54.1679,10.7850,33.8584,0.2667,-0.0880,0.3547,28.1686,-18.3126,85.0000,5.0000,21.4569,23.6015,22.5292,68759860704.0011,90915998294.0000
2014-09-04,98.85,100.09,97.79,98.12,22.2142655524,85594800,0.0000,1.0,22.4783,22.5281,51.7155,32.6831,57.6946,0.3135,-0.0632,0.3767,29.3130,-17.1561,90.0000,10.0000,21.2968,23.6599,22.4783,68707991192.9112,90682585494.0000
2014-09-03,103.1,103.2,98.58,98.94,22.3999126962,125233100,0.0000,1.0,22.4373,22.5611,54.3824,58.1071,73.8523,0.3883,-0.0042,0.3925,30.5177,31.0497,95.0000,15.0000,21.1680,23.7065,22.4373,68952122448.4994,91024964694.0000
2014-09-02,103.06,103.74,102.72,103.3,23.3870121439,53491400,0.0000,1.0,22.3887,22.5781,73.5376,82.2937,77.1442,0.4592,0.0657,0.3935,31.5050,110.2005,100.0000,20.0000,21.0452,23.7322,22.3887,69374987461.5051,91525897094.0000
2014-08-29,102.86,102.9,102.2,102.5,23.2058929792,44567000,0.0000,1.0,22.2961,22.4929,71.8065,81.1562,72.1914,0.4425,0.0654,0.3771,30.5885,104.2030,100.0000,25.0000,20.9856,23.6065,22.2961,69345619634.0759,91311931494.0000
2014-08-28,101.59,102.78,101.56,102.25,23.1492932402,68389800,0.0000,1.0,22.2186,22.4178,71.2482,67.9826,69.1275,0.4332,0.0725,0.3608,29.8078,108.5539,100.0000,30.0000,20.9499,23.4873,22.2186,69371086491.1223,91133663494.0000
2014-08-27,101.02,102.57,100.7,102.13,23.1221253655,46827400,0.0000,1.0,22.1379,22.3409,70.9862,67.4353,75.5267,0.4208,0.0782,0.3426,29.0130,113.6565,100.0000,35.0000,20.9118,23.3640,22.1379,69335209874.6737,90860104294.0000
2014-08-26,101.42,101.5,100.86,100.889,22.8411642612,33119800,0.0000,1.0,22.0874,22.2586,68.1330,71.9647,83.2176,0.4017,0.0786,0.3231,28.2223,109.8963,95.0000,40.0000,20.9474,23.2273,22.0874,69236045968.8017,90672794694.0000
2014-08-25,101.79,102.17,101.28,101.54,22.9885499815,40144700,0.0000,1.0,22.0535,22.1973,71.6440,87.1800,89.5170,0.4000,0.0965,0.3035,27.6346,142.3770,100.0000,45.0000,20.9661,23.1408,22.0535,69356519241.3423,90805273894.0000
2014-08-22,100.29,101.47,100.19,101.32,22.9387422112,44102400,0.0000,1.0,22.0194,22.1140,71.1670,90.5080,91.4638,0.3770,0.0977,0.2793,26.7815,138.6657,100.0000,50.0000,21.0115,23.0272,22.0194,69423276720.0244,90644695094.0000
2014-08-21,100.57,100.94,100.11,100.58,22.7712069839,33421900,0.0000,1.0,21.9726,22.0272,69.5291,90.8631,92.9525,0.3472,0.0923,0.2549,26.0411,145.4804,95.0000,55.0000,21.0572,22.8880,21.9726,69288213120.0501,90468285494.0000
2014-08-20,100.44,101.09,99.95,100.57,22.7689429943,52612800,0.0000,1.0,21.9270,21.9489,69.5068,93.0203,94.5006,0.3213,0.0895,0.2318,25.3858,171.4156,100.0000,60.0000,21.0875,22.7665,21.9270,69270495486.2791,90334597894.0000
2014-08-19,99.41,100.68,99.32,100.53,22.7598870361,69274700,0.0000,1.0,21.8833,21.8625,69.4220,94.9740,95.9503,0.2837,0.0742,0.2095,24.6960,188.6296,100.0000,65.0000,21.1379,22.6286,21.8833,69252034854.7717,90124146694.0000
2014-08-18,98.49,99.37,97.98,99.16,22.4497204665,47572000,0.0000,1.0,21.8122,21.7681,66.3797,95.5076,94.6357,0.2325,0.0416,0.1909,24.0627,145.8859,100.0000,0.0000,21.1481,22.4763,21.8122,69036060790.0778,89847047894.0000
2014-08-15,97.9,98.19,96.86,97.98,22.1825696985,48951000,0.0000,1.0,21.7478,21.6963,63.4002,97.3694,92.9674,0.1954,0.0149,0.1805,23.7129,96.1628,35.0000,0.0000,21.0939,22.4017,21.7478,68903269883.5560,89656759894.0000
2014-08-14,97.33,97.57,96.8,97.5,22.0738981997,28116000,0.0000,1.0,21.7024,21.6452,62.1023,91.0302,85.3160,0.1724,-0.0044,0.1768,23.6681,84.7400,40.0000,0.0000,21.0492,22.3555,21.7024,68769298725.7297,89460955894.0000
2014-08-13,96.15,97.24,96.04,97.24,22.0150344712,31916000,0.0000,1.0,21.6472,21.6000,61.3979,90.5026,74.3759,0.1516,-0.0263,0.1778,23.8048,69.4317,45.0000,5.0000,20.9445,22.3499,21.6472,68677282725.7179,89348491894.0000
2014-08-12,96.04,96.88,95.61,95.97,21.7275077972,33795000,0.0000,1.0,21.6141,21.5563,57.7540,74.4152,55.0152,0.1288,-0.0556,0.1844,24.0483,38.0595,50.0000,10.0000,20.9214,22.3067,21.6141,68549618725.7179,89220827894.0000
2014-08-11,95.27,96.08,94.8355,95.99,21.7320357763,36585000,0.0000,1.0,21.6014,21.5383,57.8357,58.2098,37.2140,0.1271,-0.0712,0.1983,24.4130,11.3232,55.0000,15.0000,20.9082,22.2945,21.6014,68608161245.4274,89356007894.0000
2014-08-08,94.26,94.82,93.28,94.74,21.4490370814,41865000,0.0000,1.0,21.6012,21.5179,53.9707,32.4204,23.7858,0.1226,-0.0935,0.2161,25.0449,-68.0189,60.0000,20.0000,20.9081,22.2942,21.6012,68482987336.1961,89209667894.0000
2014-08-07,94.93,95.95,94.1,94.48,21.3901733529,46711000,0.4700,1.0,21.6013,21.5252,53.1215,21.0117,19.9643,0.1440,-0.0955,0.2395,26.1387,-37.7645,65.0000,25.0000,20.9083,22.2942,21.6013,68332925777.7807,89042207894.0000
2014-08-06,94.75,95.48,94.71,94.96,21.3924261358,38558000,0.0000,1.0,21.6022,21.5394,53.1572,17.9252,18.7299,0.1751,-0.0882,0.2634,26.9554,-50.4742,70.0000,30.0000,20.9104,22.2940,21.6022,68443012242.6803,89229051894.0000
2014-08-05,95.36,95.68,94.36,95.12,21.4284706617,55933000,0.0000,1.0,21.6071,21.5549,53.7051,20.9560,23.0175,0.2121,-0.0733,0.2854,28.1508,-51.7612,75.0000,35.0000,20.9198,22.2943,21.6071,68497093593.2465,89383283894.0000
2014-08-04,96.37,96.58,95.17,95.59,21.5343514566,39958000,0.0000,1.0,21.6096,21.5682,55.2955,17.3086,31.4799,0.2525,-0.0512,0.3038,29.4091,-10.4191,80.0000,40.0000,20.9248,22.2945,21.6096,68463194805.3631,89607015894.0000
2014-08-01,94.9,96.62,94.81,96.13,21.6560017316,48511000,0.0000,1.0,21.6139,21.5717,57.1425,30.7879,51.0619,0.2897,-0.0269,0.3166,30.4139,-4.7707,85.0000,45.0000,20.9299,22.2979,21.6139,68527807741.5826,89766847894.0000
2014-07-31,97.16,97.45,95.33,95.6,21.5366042395,56843000,0.0000,1.0,21.5903,21.5629,55.7648,46.3433,70.3387,0.3205,-0.0028,0.3233,31.4716,15.9552,90.0000,50.0000,20.8814,22.2991,21.5903,68438826238.7839,89572803894.0000
2014-07-30,98.44,98.7,97.67,98.15,22.1110638714,33010000,0.0000,1.0,21.5664,21.5656,65.3696,76.0545,85.2453,0.3674,0.0434,0.3240,32.3820,127.0665,95.0000,55.0000,20.8207,22.3120,21.5664,68608282729.3477,89800175894.0000
2014-07-29,99.33,99.44,98.25,98.38,22.1628778774,43143000,0.0000,1.0,21.5142,21.5082,66.3488,88.6182,89.2818,0.3633,0.0501,0.3132,32.2851,176.2527,100.0000,0.0000,20.7825,22.2460,21.5142,68617256321.5299,89932215894.0000
2014-07-28,97.82,99.24,97.55,99.02,22.3070559811,55318000,0.0000,1.0,21.4528,21.4393,69.0845,91.0631,83.8510,0.3476,0.0469,0.3006,31.8783,195.8744,100.0000,0.0000,20.7434,22.1623,21.4528,68752123514.8158,90104787894.0000
2014-07-25,96.85,97.84,96.64,97.671,22.0031555719,43469000,0.0000,1.0,21.3735,21.3480,66.3023,88.1640,71.7952,0.3077,0.0189,0.2889,31.4953,144.9887,90.0000,0.0000,20.7107,22.0364,21.3735,68588460792.8804,89883515894.0000
2014-07-24,97.035,97.32,96.42,97.03,21.8587521899,45729000,0.0000,1.0,21.2973,21.2790,64.8755,72.3258,55.6008,0.2834,-0.0008,0.2842,31.4296,129.3078,95.0000,0.0000,20.5921,22.0024,21.2973,68463559866.2098,89709639894.0000
2014-07-23,95.42,97.88,95.17,97.19,21.8947967158,92918000,0.0000,1.0,21.2221,21.2180,65.5335,54.8959,40.6874,0.2629,-0.0215,0.2844,31.4971,127.7651,100.0000,5.0000,20.4548,21.9894,21.2221,68398523066.2780,89892555894.0000
2014-07-22,94.68,94.89,94.12,94.72,21.3383593469,55197000,0.0000,1.0,21.1443,21.1467,59.5108,39.5806,32.1368,0.2292,-0.0605,0.2898,31.5682,33.9155,80.0000,10.0000,20.3504,21.9382,21.1443,68216115774.8410,89520883894.0000
2014-07-21,94.99,95.0,93.72,93.939,21.1624170047,39079000,0.0000,1.0,21.1005,21.1266,57.2678,27.5857,30.0638,0.2396,-0.0653,0.3049,32.5644,23.5389,85.0000,15.0000,20.2589,21.9420,21.1005,68092818580.0557,89300095894.0000
2014-07-18,93.62,94.74,93.02,94.43,21.2730286437,49988000,0.0000,1.0,21.0664,21.1228,59.2274,29.2440,40.3743,0.2672,-0.0540,0.3212,33.6129,21.3803,90.0000,20.0000,20.1833,21.9494,21.0664,68195645198.8706,89456411894.0000
2014-07-17,95.03,95.279,92.57,93.0899,20.9711332112,57298000,0.0000,1.0,21.0374,21.1070,55.2578,33.3616,51.9802,0.2873,-0.0474,0.3347,34.8089,8.4357,95.0000,25.0000,20.1454,21.9294,21.0374,68067768919.7360,89256459894.0000
2014-07-16,96.97,97.1,94.74,94.78,21.3518760441,53502000,0.0000,1.0,21.0272,21.1213,62.5547,58.5172,61.9425,0.3396,-0.0070,0.3466,36.0678,82.1912,100.0000,30.0000,20.1277,21.9266,21.0272,68208989771.1312,89485651894.0000
2014-07-15,96.8,96.85,95.03,95.32,21.4735263191,45477900,0.0000,1.0,20.9968,21.0970,65.1667,64.0618,60.7474,0.3626,0.0143,0.3483,36.3542,98.5845,95.0000,35.0000,20.1022,21.8914,20.9968,68415743262.6416,89699659894.0000
2014-07-14,95.86,96.89,95.65,96.45,21.7280907834,42810000,0.0000,1.0,20.9616,21.0574,71.0658,63.2484,58.7138,0.3743,0.0295,0.3447,36.4966,135.9008,100.0000,40.0000,20.0898,21.8335,20.9616,68539683034.1053,89881571494.0000
2014-07-11,95.36,95.89,94.8625,95.22,21.4509984904,34018000,0.0000,1.0,20.9034,20.9868,68.0776,54.9320,62.3363,0.3578,0.0204,0.3374,36.2999,113.3773,85.0000,45.0000,20.0905,21.7163,20.9034,68489968195.4114,89710331494.0000
2014-07-10,93.76,95.55,93.52,95.035,21.4093220073,39686000,0.0000,1.0,20.8704,20.9379,67.5995,57.9611,72.7201,0.3598,0.0275,0.3323,36.3497,100.9132,90.0000,50.0000,20.0964,21.6443,20.8704,68531352623.6413,89574259494.0000
2014-07-09,95.44,95.95,94.76,95.39,21.4892957992,36436000,0.0000,1.0,20.8571,20.8883,69.4970,74.1156,84.9015,0.3614,0.0360,0.3254,36.4944,138.6845,95.0000,55.0000,20.1120,21.6023,20.8571,68453153608.8613,89733003494.0000
2014-07-08,96.27,96.8,93.92,95.35,21.4802846677,65222000,0.0000,1.0,20.8443,20.8250,69.4051,86.0834,90.3782,0.3500,0.0336,0.3164,35.9182,147.4348,100.0000,60.0000,20.1352,21.5534,20.8443,68444580432.3843,89587259494.0000
2014-07-07,94.14,95.99,94.1,95.968,21.6195066491,56468000,0.0000,1.0,20.8257,20.7560,72.6173,94.5055,89.9315,0.3312,0.0233,0.3080,35.3117,169.5775,100.0000,65.0000,20.1665,21.4849,20.8257,68446392154.6305,89848147494.0000
2014-07-03,93.67,94.1,93.2,94.03,21.1829173288,22891800,0.0000,1.0,20.7835,20.6651,68.2380,90.5457,88.1182,0.2883,-0.0138,0.3021,34.8533,100.5830,15.0000,70.0000,20.2341,21.3330,20.7835,68225778550.3820,89622275494.0000
2014-07-02,93.865,94.06,93.09,93.48,21.059014271,28465000,0.0000,1.0,20.7661,20.6106,66.8068,84.7433,82.6855,0.2739,-0.0317,0.3056,34.8670,97.3993,20.0000,75.0000,20.2472,21.2850,20.7661,68148455137.0577,89530708294.0000
2014-07-01,93.52,94.07,93.13,93.52,21.0680254025,38223000,0.0000,1.0,20.7507,20.5634,67.0154,89.0654,72.9638,0.2640,-0.0495,0.3135,34.8932,113.0356,25.0000,80.0000,20.2495,21.2519,20.7507,68170757611.2576,89644568294.0000
2014-06-30,92.1,93.725,92.09,92.93,20.9351112131,49589000,0.0000,1.0,20.7232,20.5103,65.5059,74.2477,51.2087,0.2467,-0.0792,0.3259,34.8978,74.0884,30.0000,0.0000,20.2344,21.2120,20.7232,68196781781.3813,89491676294.0000
2014-06-27,90.82,92.0,90.77,91.98,20.7210968404,64029000,0.0000,1.0,20.6880,20.4656,62.9094,55.5784,30.8204,0.2345,-0.1112,0.3457,34.9962,-18.5842,35.0000,5.0000,20.1652,21.2108,20.6880,68191322441.9406,89293320294.0000
2014-06-26,90.37,91.05,89.8,90.9,20.4777962905,32629000,0.0000,1.0,20.6705,20.4387,59.6274,23.7999,13.9950,0.2373,-0.1362,0.3735,35.6243,-86.6645,40.0000,10.0000,20.1303,21.2108,20.6705,67943535417.6616,89037204294.0000
2014-06-25,90.21,90.7,89.65,90.36,20.3561460155,36869000,0.0000,1.0,20.6691,20.4346,57.8560,13.0829,13.1616,0.2622,-0.1453,0.4076,36.6272,-110.5192,45.0000,15.0000,20.1265,21.2116,20.6691,67844343257.6097,88906688294.0000
2014-06-24,90.75,91.74,90.19,90.28,20.3381237525,39036000,0.0000,1.0,20.6554,20.4429,57.5941,5.1022,19.1418,0.3026,-0.1413,0.4439,37.8167,-68.4922,50.0000,0.0000,20.0698,21.2409,20.6554,67792375524.2811,88759212294.0000
2014-06-23,91.32,91.62,90.6,90.83,20.4620268104,43694000,0.0000,1.0,20.6452,20.4539,60.0303,21.2998,31.1586,0.3516,-0.1276,0.4792,38.7884,-39.1642,55.0000,0.0000,20.0315,21.2589,20.6452,67930386672.6976,88915356294.0000
2014-06-20,91.85,92.55,90.9,90.91,20.4800490733,100898000,0.0000,1.0,20.6103,20.4530,60.3832,31.0235,35.4705,0.3964,-0.1147,0.5111,39.5922,-0.8297,60.0000,0.0000,19.8890,21.3316,20.6103,68026342123.6795,89090132294.0000
2014-06-19,92.29,92.3,91.3389,91.86,20.694063446,35528000,0.0000,1.0,20.5635,20.4502,64.6726,41.1526,33.1487,0.4460,-0.0938,0.5398,40.2769,25.5161,65.0000,0.0000,19.7058,21.4212,20.5635,68425042099.5898,89493724294.0000
2014-06-18,92.27,92.29,91.35,92.18,20.7661524979,33514000,0.0000,1.0,20.5044,20.4245,66.1770,34.2353,25.8324,0.4810,-0.0823,0.5633,40.7594,36.0932,70.0000,0.0000,19.5353,21.4735,20.5044,68413050336.8055,89635836294.0000
2014-06-17,92.31,92.7,91.8,92.08,20.7436246692,29726000,0.0000,1.0,20.4391,20.3886,65.9418,24.0583,24.4090,0.5113,-0.0725,0.5838,41.2614,50.4525,75.0000,0.0000,19.3780,21.5003,20.4391,68310369145.2246,89501780294.0000
2014-06-16,91.51,92.75,91.45,92.2,20.7706580636,35561000,0.0000,1.0,20.3748,20.3512,66.4687,19.2035,34.2953,0.5449,-0.0571,0.6020,41.5533,53.4232,80.0000,0.0000,19.2418,21.5079,20.3748,68355288434.0666,89620684294.0000
2014-06-13,92.2,92.44,90.88,91.28,20.5634020395,54525000,0.0000,1.0,20.2978,20.3070,64.3967,29.9651,54.6085,0.5771,-0.0392,0.6163,41.8606,41.9671,85.0000,5.0000,19.0766,21.5189,20.2978,68333404741.7664,89478440294.0000
2014-06-12,94.04,94.12,91.9,92.29,20.7909331094,54749000,0.0000,1.0,20.2171,20.2801,68.8326,53.7172,73.1430,0.6308,0.0048,0.6261,42.2576,78.7366,90.0000,10.0000,18.8701,21.5641,20.2171,68439658587.9457,89696540294.0000
2014-06-11,94.13,94.76,93.47,93.86,21.1446200201,45681000,0.0000,1.0,20.1332,20.2263,76.6275,80.1432,85.0528,0.6671,0.0422,0.6249,42.1597,116.2794,95.0000,15.0000,18.7315,21.5348,20.1332,68581710047.4406,89915536294.0000
2014-06-10,94.73,95.05,93.57,94.25,21.232478552,62777000,0.0000,1.0,20.0314,20.1296,78.7315,85.5686,87.2947,0.6677,0.0534,0.6143,41.1508,133.9628,100.0000,20.0000,18.6427,21.4200,20.0314,68653949768.3094,90098260294.0000
2014-06-09,92.7,93.88,91.75,93.7,21.1085754941,75414997,0.0000,7.00000700001,19.9237,20.0135,77.9192,89.4467,86.5270,0.6498,0.0489,0.6010,40.0270,119.7129,100.0000,0.0000,18.5914,21.2559,19.9237,68674309876.3850,89847152294.0000
2014-06-06,649.9,651.26,644.47,645.57,20.7761083316,12497800,0.0000,1.0,19.8105,19.8983,75.5377,86.8690,79.2596,0.6301,0.0414,0.5887,39.0177,117.1104,100.0000,5.0000,18.5159,21.1050,19.8105,68423634675.1299,89545492306.0000
2014-06-05,646.2,649.3699,642.61,647.35,20.8333933244,10850200,0.0000,1.0,19.7178,19.8058,76.8953,83.2653,70.9029,0.6297,0.0513,0.5784,38.0930,131.8324,100.0000,10.0000,18.4480,20.9877,19.7178,68660191207.8803,89895431055.0000
2014-06-04,637.44,647.89,636.11,644.82,20.7519713964,11981500,0.0000,1.0,19.6240,19.6977,76.3206,67.6445,66.6416,0.6142,0.0486,0.5656,37.1651,138.7228,100.0000,15.0000,18.4222,20.8257,19.6240,68537943476.9771,89591625152.0000
2014-06-03,628.46,638.74,628.25,637.54,20.5176822122,10453900,0.0000,1.0,19.5375,19.5867,74.5933,61.7987,71.3008,0.5937,0.0403,0.5534,36.2234,128.5068,90.0000,20.0000,18.4275,20.6475,19.5375,68377322053.4608,89256142817.0000
2014-06-02,633.96,634.83,622.5,628.65,20.2315790738,13191100,0.0000,1.0,19.4733,19.4887,72.2446,70.4816,81.0990,0.5828,0.0394,0.5433,35.4611,120.7806,95.0000,25.0000,18.4525,20.4941,19.4733,68151581368.0239,88963433325.0000
2014-05-30,637.98,644.17,628.9,633.0,20.3715732978,20143600,0.0000,1.0,19.4099,19.4105,75.4886,81.6222,88.1255,0.5895,0.0560,0.5335,34.7647,175.1830,100.0000,30.0000,18.4288,20.3911,19.4099,68152480032.5686,89332784494.0000
2014-05-29,627.85,636.87,627.77,635.38,20.4481678388,13445500,0.0000,1.0,19.3378,19.3093,77.2925,91.1933,92.5945,0.5753,0.0558,0.5195,33.5002,198.9971,100.0000,35.0000,18.4417,20.2340,19.3378,68413621554.7815,89896805858.0000
2014-05-28,626.02,629.83,623.78,624.01,20.0822519014,11267200,0.0000,1.0,19.2597,19.1895,74.5302,91.5608,93.4581,0.5409,0.0354,0.5055,32.3414,199.4452,100.0000,40.0000,18.5026,20.0167,19.2597,68160432194.2791,89520331482.0000
2014-05-27,615.88,625.86,615.63,625.63,20.1343876814,12459500,0.0000,1.0,19.2034,19.0955,75.7780,95.0294,93.2545,0.5265,0.0298,0.4967,31.3054,229.0473,100.0000,0.0000,18.5374,19.8693,19.2034,68451927054.4579,89835813397.0000
2014-05-23,607.25,614.7293,606.47,614.13,19.7642880085,8293200,0.0000,1.0,19.1473,18.9861,72.6952,93.7841,91.6788,0.4951,0.0058,0.4892,30.3258,195.1270,100.0000,0.0000,18.6327,19.6619,19.1473,68118747756.4072,89486947049.0000
2014-05-22,606.6,609.85,604.1,607.27,19.543515508,7170000,0.0000,1.0,19.0743,18.9042,70.5728,90.9499,91.0167,0.4855,-0.0023,0.4878,29.6435,166.1484,100.0000,0.0000,18.5179,19.6307,19.0743,67920236507.2656,89254737217.0000
2014-05-21,603.83,606.7,602.06,606.31,19.512620231,7030700,0.0000,1.0,19.0057,18.8369,70.2655,90.3025,87.0420,0.4886,0.0003,0.4884,29.0995,153.9448,90.0000,0.0000,18.3653,19.6460,19.0057,67899636765.0632,89053977017.0000
2014-05-20,604.51,606.4,600.73,604.71,19.4611281026,8387000,0.0000,1.0,18.8697,18.7658,69.7656,91.7979,82.3737,0.4887,0.0004,0.4883,28.6442,113.2432,95.0000,5.0000,17.7458,19.9936,18.8697,67735869779.5954,88857117221.0000
2014-05-19,597.85,607.33,597.33,604.59,19.457266193,11348400,0.0000,1.0,18.7475,18.6926,69.7294,79.0257,76.6152,0.4869,-0.0013,0.4882,28.1759,95.9326,100.0000,0.0000,17.3982,20.0967,18.7475,67641024104.7961,88622280987.0000
2014-05-16,588.63,597.53,585.4,597.51,19.2294135248,9866300,0.0000,1.0,18.6246,18.6121,67.5481,76.2973,76.2920,0.4780,-0.0105,0.4885,27.6829,56.0330,60.0000,0.0000,17.1177,20.1314,18.6246,67497398610.9442,88304525470.0000
2014-05-15,594.7,596.6,588.04,588.82,18.9497469024,8244500,0.0000,1.0,18.5031,18.5471,64.5713,74.5226,70.8606,0.4828,-0.0084,0.4911,27.5266,50.9611,65.0000,0.0000,16.8285,20.1777,18.5031,67222052921.5028,88028268794.0000
2014-05-14,592.43,597.4,591.74,593.87,19.1122689327,5943000,0.0000,1.0,18.3861,18.5048,68.0157,78.0562,57.8843,0.5104,0.0171,0.4932,27.1623,62.8439,70.0000,0.0000,16.5351,20.2371,18.3861,67410829044.1671,88259115024.0000
2014-05-13,592.0,594.54,590.7,593.76,19.1087288489,5704900,0.0000,1.0,18.2593,18.4408,67.9804,60.0030,40.7010,0.5216,0.0327,0.4890,26.4942,63.7474,75.0000,5.0000,16.2816,20.2371,18.2593,67451989085.2762,88092710858.0000
2014-05-12,587.49,593.66,587.4,592.83,19.0787990492,7614600,0.0000,1.0,18.1387,18.3705,67.6937,35.5937,31.6952,0.5287,0.0479,0.4808,25.8873,64.4026,80.0000,10.0000,16.0898,20.1876,18.1387,67357145028.3619,87932973499.0000
2014-05-09,584.54,586.25,580.33,585.5425,18.8442684957,10414200,0.0000,1.0,18.0162,18.2959,65.3862,26.5063,39.5418,0.5332,0.0644,0.4688,25.2777,53.4770,85.0000,15.0000,15.9146,20.1178,18.0162,67200473868.6518,87719764486.0000
2014-05-08,588.25,594.41,586.4,587.99,18.9230353608,8224900,3.2900,1.0,17.9117,18.2382,66.9110,32.9856,55.0221,0.5550,0.1023,0.4527,24.8907,70.0023,90.0000,20.0000,15.7774,20.0459,17.9117,66978573784.2793,88011362377.0000
2014-05-07,595.25,597.29,587.73,592.33,18.9566390463,10102300,0.0000,1.0,17.8141,18.1661,67.5494,59.1334,72.0080,0.5668,0.1396,0.4271,24.0360,76.1022,95.0000,25.0000,15.6954,19.9328,17.8141,67117442272.0268,88241659807.0000
2014-05-06,601.8,604.4099,594.41,594.41,19.023206347,13377300,0.0000,1.0,17.7039,18.0829,68.7845,72.9472,77.6267,0.5701,0.1779,0.3922,23.1502,95.9360,100.0000,30.0000,15.6051,19.8027,17.7039,67128094080.0605,88524524489.0000
2014-05-05,590.14,601.0,590.0,600.96,19.2328293371,10252400,0.0000,1.0,17.5904,17.9840,72.7648,83.9433,80.9053,0.5593,0.2115,0.3478,21.7145,108.3329,100.0000,35.0000,15.5444,19.6364,17.5904,67502658854.0605,88899089263.0000
2014-05-02,592.34,594.2,589.71,592.58,18.9646399238,6839800,0.0000,1.0,17.4797,17.8525,70.7044,75.9896,82.7503,0.5160,0.2211,0.2949,20.2921,113.9475,90.0000,40.0000,15.5659,19.3935,17.4797,67217679130.6059,88612021776.0000
2014-05-01,592.0,594.8,586.36,591.48,18.9294360628,8716000,0.0000,1.0,17.3936,17.7354,70.4254,82.7832,89.9166,0.4805,0.2409,0.2396,18.9807,132.1756,95.0000,45.0000,15.6039,19.1834,17.3936,67164362150.8546,88420507185.0000
