,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2007-10-17,172.69,173.04,169.18,172.75,5.3136203431,40271900,0.0000,1.0,4.8882,4.9076,70.7283,86.6577,77.1019,0.2409,0.0175,0.2234,22.6224,124.5323,100.0000,5.0000,4.3569,5.4196,4.8882,34015011811.9176,72743092722.0000
2007-10-16,165.54,170.18,165.15,169.58,5.21611425634,38136800,0.0000,1.0,4.8391,4.8649,68.9123,78.8854,70.3274,0.2338,0.0148,0.2190,22.6720,106.0331,85.0000,0.0000,4.2924,5.3857,4.8391,33056831761.9897,71615478395.0000
2007-10-15,167.98,169.57,163.5,166.98,5.13614080979,38497500,0.0000,1.0,4.7950,4.8279,67.3333,65.7627,66.8462,0.2314,0.0161,0.2153,22.9549,101.5650,90.0000,0.0000,4.2351,5.3549,4.7950,32243751340.8786,70547646928.0000
2007-10-12,163.01,167.28,161.8,167.2537,5.14455955299,35292000,0.0000,1.0,4.7510,4.7955,67.6770,66.3340,73.4823,0.2331,0.0218,0.2113,23.3027,99.3778,95.0000,0.0000,4.1677,5.3344,4.7510,32085702138.4557,71625578005.0000
2007-10-11,169.49,171.88,153.21,162.23,4.99003547474,58714000,0.0000,1.0,4.7073,4.7588,64.5182,68.4420,82.4866,0.2309,0.0251,0.2058,23.8566,81.5909,100.0000,5.0000,4.1173,5.2973,4.7073,31107010206.9358,70637401017.0000
2007-10-10,167.55,167.88,165.6,166.79,5.13029659639,23842500,0.0000,1.0,4.6688,4.7344,70.4556,85.6710,87.7585,0.2406,0.0410,0.1996,24.4397,122.0401,95.0000,0.0000,4.0576,5.2800,4.6688,31162485086.1588,72281394660.0000
2007-10-09,170.2,171.11,166.68,167.86,5.16320874555,39438800,0.0000,1.0,4.6228,4.6927,71.9313,93.3468,85.2467,0.2351,0.0458,0.1893,23.4914,147.1360,100.0000,0.0000,4.0188,5.2267,4.6228,31133204793.6547,72948985327.0000
2007-10-08,163.49,167.91,162.97,167.91,5.16474669644,29854600,0.0000,1.0,4.5730,4.6432,71.9982,84.2576,80.1315,0.2214,0.0435,0.1778,22.3262,145.8805,100.0000,5.0000,3.9917,5.1542,4.5730,31649203695.0419,74053272831.0000
2007-10-05,158.36,161.58,157.7,161.4499,4.96604036487,33695400,0.0000,1.0,4.5250,4.5883,68.3872,78.1356,82.0027,0.2005,0.0335,0.1670,21.2910,113.2889,100.0000,0.0000,3.9905,5.0595,4.5250,30813274060.0419,73217343196.0000
2007-10-04,158.0,158.08,153.5,156.24,4.80578895749,23462800,0.0000,1.0,4.4793,4.5486,64.9214,78.0012,85.9192,0.1911,0.0325,0.1586,20.6405,89.6711,95.0000,5.0000,3.9474,5.0113,4.4793,29933072909.7341,72273871053.0000
2007-10-03,157.78,159.18,157.01,157.9201,4.85746718347,24732800,0.0000,1.0,4.4467,4.5215,67.1777,89.8711,89.7143,0.1927,0.0422,0.1505,20.2410,119.6946,100.0000,10.0000,3.9188,4.9746,4.4467,29803976151.9747,72930830109.0000
2007-10-02,156.55,158.59,155.89,158.45,4.87376638706,28288200,0.0000,1.0,4.4141,4.4861,67.8846,89.8853,89.0963,0.1866,0.0467,0.1399,19.2508,137.3578,100.0000,15.0000,3.9119,4.9164,4.4141,29915608953.1496,73623349201.0000
2007-10-01,154.63,157.41,152.93,156.339,4.80883410026,29895300,0.0000,1.0,4.3922,4.4453,66.5525,89.3866,90.4775,0.1745,0.0463,0.1282,18.2522,142.8053,100.0000,20.0000,3.9359,4.8484,4.3922,29205679194.4505,72831278809.0000
2007-09-28,153.44,154.6,152.75,153.47,4.72058647789,21967900,0.0000,1.0,4.3647,4.4070,64.6600,88.0170,90.9518,0.1631,0.0464,0.1167,17.2878,147.5693,90.0000,25.0000,3.9476,4.7818,4.3647,28768833686.4204,71994209572.0000
2007-09-27,153.77,154.52,152.32,154.5,4.75226826633,23507100,0.0000,1.0,4.3382,4.3740,65.9324,94.0289,92.6749,0.1552,0.0501,0.1051,16.4868,182.2329,95.0000,0.0000,3.9486,4.7279,4.3382,28905153548.1219,72609311387.0000
2007-09-26,154.47,155.0,151.25,152.77,4.69905516536,34831000,0.0000,1.0,4.3068,4.3342,64.8280,90.8096,87.8761,0.1396,0.0471,0.0925,15.6499,209.5890,100.0000,0.0000,3.9564,4.6572,4.3068,28258921353.0318,71951111929.0000
2007-09-25,146.84,153.22,146.82,153.18,4.7116663627,42591100,0.0000,1.0,4.2669,4.2958,65.3046,93.1862,81.7862,0.1231,0.0423,0.0808,14.7689,216.1320,100.0000,5.0000,3.9225,4.6113,4.2669,28443572278.9335,72926380904.0000
2007-09-24,146.73,149.85,146.65,148.28,4.56094717496,37577200,0.0000,1.0,4.2347,4.2521,62.1449,79.6327,72.6717,0.0990,0.0288,0.0702,13.9703,205.2845,100.0000,10.0000,3.9470,4.5225,4.2347,27265927186.8790,71733828912.0000
2007-09-21,141.14,144.65,140.31,144.15,4.43391243102,40674300,0.0000,1.0,4.2148,4.2195,59.1673,72.5397,69.0836,0.0820,0.0191,0.0630,13.3862,128.7855,40.0000,15.0000,3.9678,4.4617,4.2148,27246199137.3076,70681666260.0000
2007-09-20,140.15,141.79,139.32,140.31,4.31579780226,24708600,0.0000,1.0,4.1946,4.1970,56.1185,65.8427,70.5151,0.0722,0.0140,0.0582,13.2194,87.0495,45.0000,20.0000,3.9570,4.4323,4.1946,26369732700.1821,69542784722.0000
2007-09-19,143.02,143.16,139.4,140.7699,4.3299438746,36674300,0.0000,1.0,4.1826,4.1845,56.5993,68.8683,74.5989,0.0706,0.0159,0.0547,13.3211,109.7635,50.0000,0.0000,3.9464,4.4188,4.1826,26506980607.2638,70234626213.0000
2007-09-18,139.05,142.85,137.83,140.92,4.33456080318,38003200,0.0000,1.0,4.1623,4.1691,56.7500,76.8344,78.2012,0.0661,0.0154,0.0508,13.4182,104.5523,55.0000,0.0000,3.9110,4.4137,4.1623,26785604126.0424,71261507639.0000
2007-09-17,138.99,140.59,137.6,138.41,4.25735566824,28334700,0.0000,1.0,4.1336,4.1517,54.8391,78.0940,73.0483,0.0590,0.0120,0.0469,13.5494,78.9726,60.0000,0.0000,3.8396,4.4276,4.1336,26539718634.0253,70197416975.0000
2007-09-14,136.57,138.98,136.2,138.81,4.2696592754,21690000,0.0000,1.0,4.1084,4.1406,55.2084,79.6752,63.6717,0.0568,0.0129,0.0439,13.8986,71.2267,65.0000,0.0000,3.7774,4.4395,4.1084,26903237088.3678,70990789368.0000
2007-09-13,138.83,139.0,136.65,137.2,4.22013725658,23434400,0.0000,1.0,4.0750,4.1270,54.0245,61.3757,46.9127,0.0520,0.0113,0.0407,14.4203,70.3226,70.0000,5.0000,3.6857,4.4642,4.0750,26370193102.4516,70383468761.0000
