,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2018-03-06,12.01,12.05,11.71,11.76,11.76,46751179,0.0000,1.0,11.8770,12.0030,47.9727,27.5507,28.2317,0.0046,-0.0312,-0.0265,13.8383,-11.4391,20.0000,75.0000,12.5117,11.8770,11.2423,-2008261796.6357,1652440532.0000
2018-03-05,11.69,12.06,11.61,11.91,11.91,43734836,0.0000,1.0,11.8675,12.0286,49.3904,32.5926,26.3275,0.0124,-0.0193,-0.0069,14.0269,-2.3799,25.0000,0.0000,12.5145,11.8675,11.2205,-1975260964.4004,1699191711.0000
2018-03-02,11.67,11.93,11.43,11.81,11.81,58123518,0.0000,1.0,11.8945,12.0411,48.4251,47.0557,28.0930,0.0173,-0.0142,0.0031,14.2255,-40.6130,30.0000,0.0000,12.5896,11.8945,11.1994,-1989839243.0670,1655456875.0000
2018-03-01,12.26,12.27,11.66,11.9,11.9,63207377,0.0000,1.0,11.9665,12.0654,49.2279,64.8117,43.3574,0.0208,0.0051,0.0259,14.2930,-9.0942,35.0000,0.0000,12.8767,11.9665,11.0563,-2020063472.4270,1713580393.0000
2018-02-28,12.66,12.73,12.1,12.11,12.11,43024362,0.0000,1.0,12.0585,12.0828,51.1059,71.8130,69.7167,0.0195,0.0259,0.0454,14.5599,34.0989,40.0000,5.0000,13.2513,12.0585,10.8657,-2006593047.8205,1776787770.0000
2018-02-27,12.43,12.88,12.39,12.53,12.53,55068108,0.0000,1.0,12.0965,12.0799,55.0998,60.0556,81.3611,0.0131,0.0353,0.0484,15.2432,65.0417,45.0000,10.0000,13.3408,12.0965,10.8522,-1964934538.5824,1819812132.0000
2018-02-26,12.14,12.43,12.05,12.42,12.42,41830973,0.0000,1.0,12.1360,12.0325,54.2094,41.2180,64.3611,0.0042,0.0045,0.0087,15.8402,19.2327,50.0000,15.0000,13.4790,12.1360,10.7930,-1941333920.8681,1764744024.0000
2018-02-23,11.95,12.16,11.94,12.07,12.07,32964802,0.0000,1.0,12.1625,11.9918,51.2898,29.3249,34.4444,0.0031,-0.0340,-0.0309,16.4271,-12.7868,55.0000,20.0000,13.5472,12.1625,10.7778,-1980963263.7102,1722913051.0000
2018-02-22,11.82,12.0,11.63,11.84,11.84,37579666,0.0000,1.0,12.1795,11.9835,49.2704,35.0707,24.8485,0.0116,-0.0570,-0.0454,16.7490,-40.9615,60.0000,25.0000,13.5676,12.1795,10.7914,-1986956864.0738,1689948249.0000
2018-02-21,12.12,12.12,11.72,11.72,11.72,39840153,0.0000,1.0,12.2230,11.9986,48.2062,49.4493,28.6818,0.0259,-0.0657,-0.0398,16.9070,-41.8631,65.0000,30.0000,13.6203,12.2230,10.8257,-1992035197.3171,1652368583.0000
