,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2004-04-28,22.15,22.49,21.88,22.05,6.75621368881,3906400,0.0000,1.0,7.5325,7.2324,41.4961,14.1239,29.1356,-0.0123,-0.1280,-0.1403,18.7798,-106.8874,100.0000,20.0000,6.4537,7.5325,8.6113,-576635441.0968,57726436.0000
2004-04-27,22.51,23.19,22.06,22.14,6.78379007121,4121400,0.0000,1.0,7.5955,7.2825,41.8788,33.0517,36.1952,0.0197,-0.1346,-0.1150,18.4647,-107.3841,85.0000,25.0000,6.5590,7.5955,8.6319,-571448256.8674,69445630.0000
2004-04-26,23.29,23.39,22.27,22.33,6.84200687851,3582600,0.0000,1.0,7.6454,7.3350,42.6681,40.2311,29.5872,0.0533,-0.1371,-0.0837,18.2151,-114.5970,90.0000,30.0000,6.6762,7.6454,8.6146,-560834746.0618,81809823.0000
2004-04-23,23.02,23.63,22.95,23.24,7.12083474503,3699400,0.0000,1.0,7.6763,7.3869,46.6702,35.3027,18.2176,0.0876,-0.1362,-0.0486,18.0474,-96.1991,95.0000,35.0000,6.7745,7.6763,8.5782,-551238501.4186,92557617.0000
2004-04-22,22.49,23.12,21.93,22.74,6.96763262057,5796000,0.0000,1.0,7.6944,7.4149,43.9248,13.2277,8.0358,0.1217,-0.1531,-0.0314,18.1934,-139.3730,100.0000,40.0000,6.8239,7.6944,8.5649,-549606414.0658,81459423.0000
2004-04-21,22.64,23.4,22.44,22.61,6.92780006821,5740100,0.0000,1.0,7.6996,7.4620,43.2026,6.1223,5.6232,0.1599,-0.1534,0.0065,17.9902,-129.5680,0.0000,45.0000,6.8455,7.6996,8.5538,-555889469.6373,64071432.0000
2004-04-20,23.64,23.9,22.57,22.58,6.91860794074,4281700,0.0000,1.0,7.6917,7.5182,43.0417,4.7573,7.4675,0.1983,-0.1394,0.0590,18.0191,-112.9194,0.0000,50.0000,6.8065,7.6917,8.5769,-544768031.7001,46851141.0000
2004-04-19,23.62,23.75,23.16,23.58,7.22501218967,4356700,0.0000,1.0,7.6828,7.5813,47.2812,5.9902,10.5286,0.2331,-0.1072,0.1259,18.1126,-79.7677,5.0000,55.0000,6.7638,7.6828,8.6018,-532116097.9934,59696234.0000
2004-04-16,24.2,24.32,23.56,23.61,7.23420431714,5457200,0.0000,1.0,7.6612,7.6188,47.4143,11.6552,17.0346,0.2599,-0.0815,0.1784,18.5059,-56.3907,10.0000,60.0000,6.6818,7.6612,8.6405,-537654272.9932,72766327.0000
2004-04-15,25.41,25.52,24.3,24.41,7.47932771628,6900700,0.0000,1.0,7.6431,7.6593,51.0553,13.9404,25.7331,0.2803,-0.0385,0.2418,19.1315,-8.3552,15.0000,65.0000,6.6205,7.6431,8.6657,-523436838.7043,89137918.0000
2004-04-14,25.5,26.24,25.21,25.76,7.89297345233,4266800,0.0000,1.0,7.6089,7.6782,58.2228,25.5081,36.6495,0.2900,0.0044,0.2943,20.0647,38.4699,0.0000,70.0000,6.5230,7.6089,8.6948,-506467913.2953,109840007.0000
2004-04-13,26.48,26.5,25.5,25.63,7.85314089997,3689200,0.0000,1.0,7.5460,7.6556,57.6793,37.7509,44.0603,0.2889,0.0261,0.3149,20.4516,48.7523,0.0000,75.0000,6.3895,7.5460,8.7024,-507337842.9169,97039614.0000
2004-04-12,26.95,27.07,26.08,26.24,8.04004749181,3698200,0.0000,1.0,7.4714,7.6349,61.2303,46.6895,50.5636,0.2823,0.0584,0.3407,20.6517,75.0183,5.0000,80.0000,6.2155,7.4714,8.7272,-499147823.3569,108107208.0000
2004-04-08,26.58,27.0,26.38,26.74,8.19324961627,3725800,0.0000,1.0,7.3948,7.5922,64.3135,47.7405,58.0902,0.2677,0.0819,0.3496,20.4256,90.3734,10.0000,85.0000,6.1007,7.3948,8.6888,-491639360.7510,119201802.0000
2004-04-07,26.29,26.35,25.54,26.0,7.96651047207,3732200,0.0000,1.0,7.3038,7.5289,61.5945,57.2610,67.8130,0.2473,0.0931,0.3403,19.9494,73.8560,15.0000,90.0000,5.9913,7.3038,8.6163,-493442166.2347,108024408.0000
2004-04-06,26.7,26.89,26.0,26.14,8.00940706692,5200800,0.0000,1.0,7.2265,7.4829,62.4497,69.2691,74.0129,0.2240,0.1226,0.3466,19.7472,94.9384,20.0000,95.0000,5.8975,7.2265,8.5556,-494962691.3462,119221002.0000
2004-04-05,26.16,27.35,26.16,27.24,8.34645174074,4806200,0.0000,1.0,7.1519,7.4275,69.6699,76.9088,79.1074,0.1933,0.1518,0.3452,19.1613,127.9784,25.0000,100.0000,5.8396,7.1519,8.4642,-484268917.0542,134823394.0000
2004-04-02,26.5,26.67,25.7,26.3,8.05843174675,5414500,0.0000,1.0,7.0628,7.3307,66.5282,75.8608,84.6299,0.1554,0.1486,0.3040,18.4118,124.6328,30.0000,95.0000,5.8486,7.0628,8.2770,-496021887.0039,120404802.0000
