,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2016-04-22,105.01,106.48,104.62,105.68,24.5691982795,33683121,0.0000,1.0,25.3076,25.0418,48.7115,13.3835,16.0071,0.3521,-0.1974,0.1547,23.9087,-135.3156,100.0000,70.0000,24.3865,25.3076,26.2287,68685245416.9208,89523640014.0000
2016-04-21,106.93,106.93,105.52,105.97,24.636619433,31552525,0.0000,1.0,25.3075,25.0916,49.3876,13.9201,11.5266,0.4015,-0.1819,0.2196,24.9359,-112.7396,15.0000,75.0000,24.3860,25.3075,26.2289,68666411843.9221,89658372498.0000
2016-04-20,106.64,108.09,106.06,107.13,24.906304047,30611030,0.0000,1.0,25.3093,25.1395,52.1374,25.0713,12.6170,0.4469,-0.1545,0.2924,26.2150,-74.3629,20.0000,80.0000,24.3931,25.3093,26.2255,68712062305.6062,89784582598.0000
2016-04-19,107.88,108.0,106.23,106.91,24.855156965,32384879,0.0000,1.0,25.3046,25.1640,51.6524,45.0790,17.6169,0.4856,-0.1319,0.3537,27.3977,-72.8644,25.0000,85.0000,24.3791,25.3046,26.2300,68705427402.5461,89662138478.0000
2016-04-18,108.89,108.95,106.94,107.48,24.9876744046,60821461,0.0000,1.0,25.2929,25.1965,52.9737,68.8878,44.9799,0.5185,-0.0866,0.4319,28.5919,-39.6914,30.0000,90.0000,24.3398,25.2929,26.2461,68735433731.1274,89791677994.0000
2016-04-15,112.11,112.3,109.73,109.85,25.5386679694,46938969,0.0000,1.0,25.2748,25.2185,58.9277,76.7218,72.6403,0.5402,-0.0282,0.5120,29.6371,70.6666,35.0000,95.0000,24.2860,25.2748,26.2636,68847998823.1601,90034963838.0000
2016-04-14,111.62,112.39,111.33,112.1,26.0617631258,25473923,0.0000,1.0,25.2277,25.1848,65.5750,66.4866,89.0432,0.5472,0.0034,0.5506,29.7790,121.1296,0.0000,100.0000,24.2045,25.2277,26.2509,69018221076.4624,90222719714.0000
2016-04-13,110.8,112.34,110.8,112.04,26.0478139216,33257316,0.0000,1.0,25.1565,25.0925,65.4764,42.9153,68.4820,0.5464,-0.0077,0.5387,29.2578,124.7517,0.0000,100.0000,24.1780,25.1565,26.1349,68972079631.0237,90120824022.0000
2016-04-12,109.34,110.5,108.66,110.44,25.6758351437,27232325,0.0000,1.0,25.0697,24.9919,62.7736,30.3898,41.9344,0.5483,-0.0312,0.5171,28.7186,72.5079,0.0000,70.0000,24.1156,25.0697,26.0239,68890879950.4370,89987794758.0000
2016-04-11,108.97,110.61,108.83,109.02,25.3457039784,29407518,0.0000,1.0,24.9777,24.9199,60.1428,29.7252,18.3295,0.5561,-0.0363,0.5198,28.5226,67.7683,0.0000,75.0000,23.9250,24.9777,26.0304,68789054735.2340,89878865458.0000
2016-04-08,108.91,109.77,108.17,108.66,25.2620087533,23581740,0.0000,1.0,24.8991,24.8751,59.4527,45.2694,30.9056,0.5652,-0.0159,0.5493,28.2442,57.1865,0.0000,80.0000,23.7389,24.8991,26.0593,68881572769.3766,89761235386.0000
2016-04-07,109.95,110.42,108.121,108.54,25.234110345,31801870,0.0000,1.0,24.8120,24.8344,59.2291,59.1844,39.9404,0.5692,0.0184,0.5876,28.1289,70.8975,5.0000,85.0000,23.5199,24.8120,26.1041,68918124466.3928,89666908426.0000
2016-04-06,110.23,110.98,109.2,110.96,25.7967282465,26404077,0.0000,1.0,24.7258,24.7923,66.2243,73.8474,64.9621,0.5646,0.0661,0.6307,28.0076,119.4501,10.0000,90.0000,23.3316,24.7258,26.1199,68998964017.6064,89794115906.0000
