,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2016-09-07,103.84,104.0,102.26,102.32,102.32,15755926,0.0000,1.0,96.3600,95.6479,73.2862,90.2294,87.6042,3.6969,0.3268,3.3701,29.0935,205.1832,95.0000,0.0000,103.0769,96.3600,89.6431,27119688.6510,568839862.0000
2016-09-06,100.45,104.3,100.45,103.78,103.78,32793099,0.0000,1.0,95.5060,94.9456,77.9579,90.5678,90.6336,3.5396,0.2512,3.2884,27.8511,198.3240,100.0000,0.0000,103.2407,95.5060,87.7713,41788999.0648,584595788.0000
2016-09-02,97.97,99.665,97.97,99.25,99.25,17477837,0.0000,1.0,94.5670,94.0157,72.8580,86.2493,92.4504,3.1386,-0.0869,3.2256,26.5432,102.3998,100.0000,5.0000,102.6096,94.5670,86.5244,17854295.6388,551802689.0000
2016-09-01,97.3,98.0,97.01,97.42,97.42,13387366,0.0000,1.0,93.8340,93.4647,70.2131,76.3826,88.6193,3.0424,-0.2049,3.2473,25.7677,71.1847,35.0000,0.0000,102.6689,93.8340,84.9991,8934927.4943,534324852.0000
2016-08-31,96.14,97.2,96.01,97.19,97.19,28617010,0.0000,1.0,93.2005,93.0483,69.8625,61.0155,77.6782,3.0617,-0.2368,3.2985,25.2288,61.2937,40.0000,0.0000,102.7075,93.2005,83.6935,11233768.1205,520937486.0000
2016-08-30,95.35,96.68,95.17,96.0,96.0,13989764,0.0000,1.0,92.5245,92.6124,68.0116,44.2872,62.8502,3.0652,-0.2924,3.3577,24.8057,51.9012,45.0000,0.0000,102.6998,92.5245,82.3492,-16902283.7282,492320476.0000
2016-08-29,94.6,95.16,94.21,94.88,94.88,8815749,0.0000,1.0,91.9145,92.2558,66.1530,29.9828,42.5182,3.1463,-0.2845,3.4308,24.4554,39.7779,50.0000,0.0000,102.6316,91.9145,81.1974,-18291995.3838,478330712.0000
2016-08-26,94.15,95.45,94.08,95.06,95.06,14133920,0.0000,1.0,91.3875,91.9795,66.7451,23.3790,27.4932,3.3181,-0.1839,3.5019,24.3804,45.3650,55.0000,0.0000,102.4988,91.3875,80.2762,-21911092.3417,487146461.0000
2016-08-25,93.75,94.69,93.12,93.94,93.94,13034568,0.0000,1.0,90.7585,91.6553,64.8873,26.2504,19.9369,3.4707,-0.0772,3.5479,24.3015,38.8341,60.0000,5.0000,102.3796,90.7585,79.1374,-27997962.9987,473012541.0000
2016-08-24,95.68,96.3,93.56,93.88,93.88,12715438,0.0000,1.0,90.2175,91.4148,64.7872,35.6558,22.7070,3.7290,0.1618,3.5672,24.3672,51.2398,65.0000,10.0000,102.1977,90.2175,78.2373,-28579122.0815,459977973.0000
2016-08-23,95.59,96.48,95.41,95.79,95.79,9645770,0.0000,1.0,89.6785,91.1553,70.9005,49.3948,36.1072,4.0107,0.4839,3.5267,24.2976,72.0005,70.0000,15.0000,101.9182,89.6785,77.4388,-18833713.3953,472693411.0000
