,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2008-11-06,87.68,88.83,84.28,85.15,58.3262987607,12522000,0.5000,1.0,60.4717,62.2363,38.3040,36.8435,62.4453,0.8620,-2.5962,-3.4582,28.0593,-45.9787,15.0000,55.0000,60.4717,55.1282,65.8153,-81392236.8073,99362600.0000
2008-11-05,92.93,93.4,89.7,89.94,61.2477210804,8706200,0.0000,1.0,60.5858,62.6478,41.6537,62.8770,79.7459,1.1380,-2.5357,-3.6737,27.9555,40.6164,20.0000,60.0000,60.5858,55.3337,65.8379,-73658869.7744,111884600.0000
2008-11-04,94.76,94.76,92.07,93.4,63.6039264944,10173000,0.0000,1.0,60.6066,62.7952,44.6451,87.6155,87.2739,1.2391,-2.7191,-3.9582,28.2727,87.2544,0.0000,65.0000,60.6066,55.3409,65.8722,-66082122.7474,120590800.0000
2008-11-03,92.64,94.67,92.17,92.68,63.1136178533,7686300,0.0000,1.0,60.6832,62.7101,43.8479,88.7452,87.0315,1.1144,-3.1535,-4.2680,28.8361,74.7891,0.0000,70.0000,60.6832,55.2050,66.1614,-65968669.2159,110417800.0000
2008-10-31,90.9,94.19,89.03,92.97,63.3111032782,10506300,0.0000,1.0,60.9535,62.6676,44.0908,85.4609,77.3848,0.9344,-3.6122,-4.5466,29.4390,42.8427,0.0000,75.0000,60.9535,54.5644,67.3427,-61418379.6159,118104100.0000
2008-10-30,91.01,92.4,88.9,90.69,61.7584592482,12033800,0.0000,1.0,61.3100,62.5999,41.6770,86.8884,62.7682,0.6150,-4.1652,-4.7802,30.0097,4.3568,5.0000,80.0000,61.3100,53.7467,68.8734,-66956584.2672,107597800.0000
2008-10-29,87.74,91.0,86.25,88.2,60.0628085311,12692000,0.0000,1.0,61.7884,62.6885,38.9421,59.8052,39.5923,0.2816,-4.6523,-4.9339,30.3730,-34.9198,0.0000,85.0000,61.7884,53.0527,70.5242,-67231642.5534,95564000.0000
2008-10-28,81.4,87.61,79.52,87.28,59.4363030453,14205900,0.0000,1.0,62.5351,62.9649,37.9203,41.6111,26.8189,-0.0294,-5.0338,-5.0043,30.5670,-80.2353,0.0000,90.0000,62.5351,52.1246,72.9457,-64960442.5532,82872000.0000
2008-10-27,80.27,84.5,79.01,79.66,54.2472032606,11099100,0.0000,1.0,63.5457,63.3363,28.5060,17.3607,21.9528,-0.3867,-5.3836,-4.9970,30.2929,-114.6782,0.0000,95.0000,63.5457,50.8593,76.2321,-78007393.9748,68666100.0000
2008-10-24,79.27,84.31,78.82,82.07,55.8883752398,12287300,0.0000,1.0,64.7306,64.2930,29.8669,21.4848,28.7486,-0.3233,-5.2235,-4.9003,29.5281,-111.7945,0.0000,100.0000,64.7306,51.3326,78.1286,-69536496.1605,79765200.0000
2008-10-23,84.09,85.89,81.0,84.35,57.4410192698,12358000,0.0000,1.0,66.0024,65.1777,31.2058,27.0130,36.9875,-0.2909,-5.1103,-4.8195,28.6934,-100.0247,0.0000,95.0000,66.0024,51.4263,80.5784,-71797001.2609,92052500.0000
2008-10-22,87.0,87.59,80.8,83.6,56.9302811021,14198100,0.0000,1.0,67.2200,65.9921,30.2284,37.7481,44.7944,-0.3028,-5.0496,-4.7468,27.9418,-102.6472,5.0000,100.0000,67.2200,51.6719,82.7680,-76371230.2997,79694500.0000
2008-10-21,92.22,92.46,88.57,88.86,60.5122581188,9716400,0.0000,1.0,68.3388,66.9460,33.3891,46.2014,46.2629,-0.1755,-4.8466,-4.6711,27.1507,-70.7675,10.0000,65.0000,68.3388,52.6934,83.9843,-73882903.4957,93892600.0000
2008-10-20,92.21,93.31,89.33,92.51,62.9978505353,9747100,0.0000,1.0,69.2411,67.6232,35.8610,50.4337,47.2744,-0.2546,-4.8817,-4.6272,26.8155,-65.5322,15.0000,70.0000,69.2411,53.4247,85.0576,-65615221.2336,103609000.0000
2008-10-17,91.75,95.91,87.71,90.78,61.8197478283,15230700,0.0000,1.0,70.0481,68.1101,33.6492,42.1534,46.1880,-0.5451,-5.1086,-4.5635,26.5174,-73.5059,0.0000,75.0000,70.0481,53.9439,86.1523,-71443889.0726,93861900.0000
2008-10-16,89.38,92.0,84.35,91.52,62.3236761538,16271300,0.0000,1.0,71.0038,68.7723,34.1274,49.2361,46.8501,-0.7767,-5.2040,-4.4273,26.2037,-94.9550,5.0000,80.0000,71.0038,54.6987,87.3089,-67617640.0484,109092600.0000
2008-10-15,92.77,95.29,87.71,88.29,60.1240971112,11330800,0.0000,1.0,71.8074,69.4510,30.0022,47.1744,38.2903,-1.0683,-5.3013,-4.2331,25.3272,-100.3002,10.0000,85.0000,71.8074,55.7099,87.9049,-81847051.4208,92821300.0000
2008-10-14,96.42,99.0,92.0,93.6,63.7401233391,15114200,0.0000,1.0,72.5967,70.4328,33.2547,44.1398,25.6612,-1.1585,-5.1245,-3.9660,24.6101,-83.4683,15.0000,90.0000,72.5967,57.3421,87.8513,-72250252.4760,104152100.0000
2008-10-13,90.44,93.61,86.95,92.21,62.7935552682,17101600,0.0000,1.0,73.3611,71.1373,31.4055,23.5566,12.3210,-1.5160,-5.1924,-3.6764,24.1455,-122.2616,20.0000,95.0000,73.3611,58.4295,88.2926,-64045401.0471,89037900.0000
2008-10-10,87.41,91.66,83.51,87.75,59.7563656304,24637400,0.0000,1.0,74.1435,72.0156,25.0781,9.2873,7.6591,-1.8098,-5.1072,-3.2974,22.8075,-169.6049,25.0000,100.0000,74.1435,59.8841,88.4030,-73957139.1852,71936300.0000
