,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2004-09-30,92.15,92.64,90.73,91.94,18.989021311,9965500,0.0000,1.0,18.7361,18.5256,59.9695,60.5079,86.9245,-0.0717,0.3429,0.4146,23.1337,49.7801,50.0000,0.0000,18.7361,19.4876,17.9846,2054812881.4834,2176853100.0000
2004-09-29,90.38,92.5,90.11,92.16,19.0344594738,11019400,0.0000,1.0,18.6916,18.4768,60.5437,37.2098,60.4826,-0.0905,0.3420,0.4325,23.0012,49.7946,55.0000,0.0000,18.6916,19.4824,17.9008,2049490991.4244,2196784100.0000
2004-09-28,89.0,90.74,87.85,90.24,18.6379082347,12147900,0.0000,1.0,18.6336,18.4181,57.1412,22.4005,34.1166,-0.1240,0.3311,0.4551,22.8912,-19.8740,60.0000,0.0000,18.6336,19.4833,17.7838,2033722644.9775,2174745300.0000
2004-09-27,88.65,89.93,88.56,88.73,18.3260372082,7368200,0.0000,1.0,18.5847,18.3950,54.1897,16.0114,17.0303,-0.1332,0.3529,0.4861,23.1653,-30.7218,65.0000,5.0000,18.5847,19.5343,17.6351,2017833696.1940,2150449500.0000
2004-09-24,90.17,90.58,88.9,89.22,18.427240389,7487700,0.0000,1.0,18.5556,18.4022,55.3651,13.0148,16.0546,-0.1122,0.4073,0.5194,23.6495,-6.8707,70.0000,10.0000,18.5556,19.5688,17.5425,2028912887.4370,2165185900.0000
2004-09-23,88.96,90.4,88.65,90.1,18.6089930402,8991300,0.0000,1.0,18.5266,18.3996,57.4927,15.6583,14.9492,-0.0870,0.4604,0.5475,24.0492,4.1785,75.0000,0.0000,18.5266,19.5850,17.4682,2038183373.1496,2180161300.0000
2004-09-22,90.08,90.53,88.55,88.78,18.3363640634,9502600,0.0000,1.0,18.4807,18.3775,55.0301,24.1139,8.0406,-0.0661,0.5031,0.5692,24.5110,-1.7242,80.0000,0.0000,18.4807,19.5987,17.3628,2026366236.0071,2162178700.0000
2004-09-21,91.52,91.52,90.05,90.65,18.7225884472,9940500,0.0000,1.0,18.4300,18.3819,59.6835,43.7579,23.9850,-0.0077,0.5780,0.5857,24.9972,44.5758,85.0000,0.0000,18.4300,19.6563,17.2037,2040956086.5073,2181183900.0000
2004-09-20,92.29,93.48,91.16,91.39,18.8754259039,10542600,0.0000,1.0,18.3443,18.3460,61.6431,63.5352,40.3162,0.0382,0.6259,0.5876,25.0520,80.0524,90.0000,0.0000,18.3443,19.7087,16.9799,2044607698.7527,2201064900.0000
2004-09-17,91.83,93.15,90.85,93.1,19.2286043512,13189100,0.0000,1.0,18.2408,18.2903,66.4314,82.1908,66.9725,0.0843,0.6623,0.5781,24.7449,94.3258,95.0000,0.0000,18.2408,19.7360,16.7456,2061512212.5496,2222150100.0000
2004-09-16,94.18,95.89,92.25,92.33,19.0695707814,14830000,0.0000,1.0,18.1023,18.1915,65.2776,91.8549,83.3170,0.1062,0.6633,0.5570,24.4800,124.8766,100.0000,0.0000,18.1023,19.7148,16.4898,2036280890.8124,2195771900.0000
2004-09-15,94.05,94.8,93.15,94.05,19.4248145997,10461100,0.0000,1.0,17.9740,18.0991,70.4134,88.4433,96.2828,0.1405,0.6710,0.5305,23.7290,147.0907,100.0000,5.0000,17.9740,19.6645,16.2835,2064637154.5480,2225431900.0000
2004-09-14,92.23,94.41,91.71,94.41,19.499167957,16372500,0.0000,1.0,17.8245,17.9595,71.5324,77.6598,95.9650,0.1396,0.6349,0.4953,23.1121,154.2359,100.0000,0.0000,17.8245,19.5042,16.1447,2062735136.3629,2246354100.0000
2004-09-13,90.321,92.2,90.2,92.1,19.0220672475,12820700,0.0000,1.0,17.6624,17.7975,68.4787,65.2662,73.0821,0.1116,0.5720,0.4604,22.5262,124.0497,100.0000,0.0000,17.6624,19.2891,16.0358,2029990136.3629,2213609100.0000
2004-09-10,87.63,90.1,87.15,90.07,18.6027969271,8969600,0.0000,1.0,17.5102,17.6685,65.3782,65.9928,63.9323,0.0995,0.5321,0.4325,22.2959,85.7151,85.0000,0.0000,17.5102,19.1689,15.8515,2006912876.3672,2187967700.0000
2004-09-09,89.22,89.3,86.75,87.91,18.1566767832,9883400,0.0000,1.0,17.3805,17.5702,61.5559,72.2854,58.7843,0.1083,0.5160,0.4077,22.4847,71.8595,90.0000,0.0000,17.3805,19.0823,15.6787,1989338541.4514,2170028500.0000
2004-09-08,88.95,89.95,88.71,89.1,18.4024559366,9121200,0.0000,1.0,17.2614,17.5085,65.3309,82.6573,75.2617,0.1528,0.5334,0.3806,22.8645,99.5146,95.0000,0.0000,17.2614,19.0599,15.4630,1991121429.2927,2189795300.0000
2004-09-07,89.57,90.45,88.28,89.1,18.4024559366,10159600,0.0000,1.0,17.1235,17.4144,65.3309,88.7413,82.8101,0.1805,0.5229,0.3424,22.6019,108.5718,100.0000,0.0000,17.1235,18.9732,15.2737,1997888771.2206,2189795300.0000
2004-09-03,89.15,90.41,88.91,89.38,18.4602863256,7773000,0.0000,1.0,16.9569,17.3104,66.1929,89.5809,89.9000,0.2045,0.5018,0.2972,22.3255,123.3055,100.0000,0.0000,16.9569,18.9129,15.0009,2002851525.1307,2210114500.0000
