,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2005-02-10,11.44,11.6,11.25,11.33,1.61856981,902000,0.0000,1.0,1.6199,1.6363,47.5808,35.3543,26.3522,-0.0048,-0.0002,0.0047,13.3163,6.6811,0.0000,40.0000,1.5408,1.6991,1.6199,-577449093.0810,-209374037.0000
2005-02-09,11.55,11.62,11.14,11.47,1.63856979,779100,0.0000,1.0,1.6158,1.6381,49.0428,49.2963,31.3774,-0.0060,0.0018,0.0078,13.4098,17.1999,5.0000,45.0000,1.5285,1.7030,1.6158,-574021489.8238,-203060031.0000
2005-02-08,11.51,11.76,11.41,11.5,1.6428555,934400,0.0000,1.0,1.6125,1.6381,49.3515,62.2567,48.3333,-0.0079,0.0023,0.0102,13.5083,57.1788,10.0000,50.0000,1.5240,1.7010,1.6125,-576066629.1988,-197606326.0000
2005-02-07,11.93,12.09,11.53,11.53,1.64714121,1079500,0.0000,1.0,1.6109,1.6376,49.6484,68.9366,68.1783,-0.0105,0.0023,0.0128,13.2987,104.1671,15.0000,55.0000,1.5234,1.6983,1.6109,-572889666.2846,-191065520.0000
2005-02-04,11.94,12.2,11.72,12.02,1.71714114,1024400,0.0000,1.0,1.6079,1.6366,54.7596,62.5048,70.2585,-0.0137,0.0020,0.0157,12.9357,195.2037,20.0000,60.0000,1.5217,1.6942,1.6079,-565333159.2846,-183509013.0000
2005-02-03,11.35,11.99,11.34,11.9,1.6999983,2659000,0.0000,1.0,1.6010,1.6281,53.6495,54.1874,68.3732,-0.0176,-0.0056,0.0120,12.3264,167.6991,25.0000,65.0000,1.5300,1.6720,1.6010,-567125861.0346,-190679820.0000
2005-02-02,11.42,11.55,11.2,11.22,1.60285554,680000,0.0000,1.0,1.5960,1.6205,46.5944,40.0961,48.8828,-0.0206,-0.0135,0.0072,11.8406,35.2779,30.0000,70.0000,1.5414,1.6506,1.5960,-580584504.8192,-209292838.0000
2005-02-01,11.42,11.65,11.39,11.48,1.63999836,677700,0.0000,1.0,1.5991,1.6224,49.3213,30.2794,45.3062,-0.0224,-0.0134,0.0090,11.6785,91.5193,35.0000,75.0000,1.5367,1.6616,1.5991,-576368501.2763,-204532834.0000
2005-01-31,11.34,11.58,11.25,11.5,1.6428555,897000,0.0000,1.0,1.6023,1.6205,49.5332,20.8749,26.0993,-0.0247,-0.0170,0.0077,11.2905,51.0861,40.0000,80.0000,1.5269,1.6776,1.6023,-574908838.5071,-199788930.0000
2005-01-28,11.22,11.7,11.13,11.44,1.63428408,1337500,0.0000,1.0,1.6082,1.6182,48.9077,21.0834,19.4326,-0.0266,-0.0215,0.0050,10.9363,22.9080,45.0000,85.0000,1.5068,1.7096,1.6082,-578143477.9616,-206067936.0000
2005-01-27,10.97,11.41,10.91,11.21,1.60142697,987800,0.0000,1.0,1.6171,1.6165,46.4929,26.4716,17.0928,-0.0278,-0.0262,0.0017,10.5635,-37.6242,50.0000,90.0000,1.4826,1.7515,1.6171,-578964750.6809,-215430445.0000
2005-01-26,11.1,11.49,10.77,11.03,1.57571271,2634600,0.0000,1.0,1.6272,1.6180,44.5442,35.5790,26.7247,-0.0283,-0.0284,-0.0001,10.3868,-53.3311,55.0000,95.0000,1.4703,1.7842,1.6272,-580347671.8809,-222345051.0000
