,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD_Signal,MACD,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2019-03-07,37.54,38.31,37.1399,37.83,37.83,31567767,0.0000,1.0,40.8705,40.1637,45.6877,21.2365,11.8788,-0.6728,1.0442,0.3714,18.9147,-148.6226,60.0000,100.0000,40.8705,37.6986,44.0424,-903423937.0593,1452076231.0000
2019-03-06,39.38,39.45,37.52,37.93,37.93,44890442,0.0000,1.0,41.0550,40.4094,45.9551,29.0464,20.1908,-0.5661,1.2124,0.6463,19.5288,-152.1962,65.0000,20.0000,41.0550,38.1984,43.9116,-909092160.1571,1483643998.0000
2019-03-05,40.25,40.67,39.51,39.99,39.99,28798762,0.0000,1.0,41.1270,40.6703,51.9002,31.0562,31.6398,-0.3764,1.3539,0.9775,20.2819,-64.7182,70.0000,25.0000,41.1270,38.5282,43.7258,-883274341.1830,1528534440.0000
2019-03-04,41.88,42.15,40.64,41.06,41.06,27047818,0.0000,1.0,41.1010,40.7420,55.4392,31.1874,35.3086,-0.2717,1.4480,1.1763,21.0159,9.1680,75.0000,30.0000,41.1010,38.4474,43.7546,-878309037.3899,1557333202.0000
2019-03-01,41.64,42.56,41.11,41.58,41.58,26755751,0.0000,1.0,41.0280,40.7085,57.2412,32.9819,26.2201,-0.2119,1.5160,1.3040,21.3947,37.5822,80.0000,0.0000,41.0280,38.2947,43.7613,-866307687.6813,1584381020.0000
2019-02-28,40.2,41.15,39.8,40.88,40.88,25777924,0.0000,1.0,40.8600,40.6167,55.3867,43.5944,32.0335,-0.1738,1.5689,1.3951,21.6220,-10.4698,85.0000,5.0000,40.8600,37.8811,43.8389,-856897044.2261,1557625269.0000
2019-02-27,42.62,42.76,41.01,41.32,41.32,29522196,0.0000,1.0,40.7280,40.5890,56.8593,46.8647,40.6919,-0.0501,1.6124,1.5623,22.2487,41.9826,90.0000,0.0000,40.7280,37.5379,43.9181,-872363798.6261,1583403193.0000
2019-02-26,42.35,43.145,42.29,42.96,42.96,18051547,0.0000,1.0,40.5315,40.5121,62.7687,47.8644,58.0577,0.0833,1.6249,1.7082,22.4578,91.7388,95.0000,0.0000,40.5315,37.0414,44.0216,-853300894.9233,1612925389.0000
2019-02-25,43.805,43.99,42.7,42.75,42.75,25233731,0.0000,1.0,40.2875,40.2544,62.2919,43.8408,41.8443,0.0986,1.6041,1.7027,22.1483,116.1515,100.0000,5.0000,40.2875,36.8284,43.7466,-863540661.3502,1594873842.0000
2019-02-22,42.08,42.57,41.83,42.57,42.57,22834253,0.0000,1.0,40.0980,39.9917,61.8946,52.8378,43.6910,0.1127,1.5794,1.6921,21.6429,97.7384,90.0000,0.0000,40.0980,36.7872,43.4088,-840263033.5284,1569640111.0000
2019-02-21,42.47,42.87,41.42,41.53,41.53,24048828,0.0000,1.0,39.7990,39.7203,59.5556,64.1831,45.9869,0.1212,1.5513,1.6724,21.4552,93.2442,95.0000,0.0000,39.7990,36.3577,43.2403,-863097286.5284,1546805858.0000
2019-02-20,42.31,43.26,42.13,42.21,42.21,28048715,0.0000,1.0,39.4345,39.5298,61.9164,76.8095,68.8355,0.2078,1.5210,1.7288,21.2577,125.5479,100.0000,5.0000,39.4345,35.3245,43.5445,-842697246.2250,1570854686.0000
2019-02-19,41.7,42.49,41.5,41.96,41.96,25575881,0.0000,1.0,39.0175,39.2477,61.3817,80.2948,77.7270,0.2374,1.4690,1.7064,20.7518,115.5125,90.0000,10.0000,39.0175,34.4514,43.5836,-818620030.6940,1542805971.0000
2019-02-15,42.27,42.395,41.42,41.99,41.99,28968391,0.0000,1.0,38.7075,38.9622,61.4801,74.4345,83.8660,0.2688,1.4097,1.6785,20.3971,126.6490,95.0000,0.0000,38.7075,34.1408,43.2742,-816811635.0678,1568381852.0000
2019-02-14,41.39,43.16,41.31,42.23,42.23,41759190,0.0000,1.0,38.3020,38.6435,62.2384,59.5506,79.2915,0.2729,1.3425,1.6153,20.0457,149.1427,100.0000,5.0000,38.3020,33.5372,43.0668,-821713978.1601,1597350243.0000
2019-02-13,40.85,42.28,40.8015,41.68,41.68,50101676,0.0000,1.0,37.8695,38.2660,61.1965,42.2735,60.1459,0.2126,1.2742,1.4868,19.6757,132.4058,100.0000,10.0000,37.8695,33.0395,42.6995,-821488252.8087,1555591053.0000
2019-02-12,39.39,40.77,39.24,40.4,40.4,43587923,0.0000,1.0,37.4850,37.9066,58.6756,38.4985,39.2145,0.1360,1.2211,1.3571,19.4804,90.3235,80.0000,15.0000,37.4850,32.7055,42.2645,-830925734.5578,1505489377.0000
2019-02-11,38.6,38.87,37.36,38.58,38.58,30356472,0.0000,1.0,37.1985,37.6441,54.7004,46.5299,27.4601,0.1151,1.1871,1.3022,19.6371,36.5721,85.0000,20.0000,37.1985,32.4656,41.9314,-853431917.0218,1461901454.0000
2019-02-08,37.8,38.78,37.4531,38.58,38.58,35573221,0.0000,1.0,37.0700,37.5456,54.7004,64.5034,48.8210,0.2402,1.1583,1.3985,20.3307,40.0868,90.0000,25.0000,37.0700,32.3546,41.7854,-872128287.1940,1461901454.0000
2019-02-07,40.8135,41.05,38.91,39.38,39.38,40396449,0.0000,1.0,36.9365,37.4367,56.8707,75.4998,63.3085,0.4028,1.0983,1.5010,21.0292,92.2273,95.0000,30.0000,36.9365,32.2485,41.6245,-896977800.0020,1497474675.0000
2019-02-06,40.4,41.9588,40.37,41.52,41.52,47472616,0.0000,1.0,36.7395,37.2322,63.2475,80.6293,81.3806,0.5311,0.9976,1.5286,21.2497,154.1469,100.0000,35.0000,36.7395,32.1487,41.3303,-874325585.6095,1537871124.0000
2019-02-05,39.24,40.33,39.17,39.37,39.37,25094026,0.0000,1.0,36.3505,36.7808,58.8428,78.5810,81.8102,0.4589,0.8648,1.3237,20.8958,120.3572,100.0000,40.0000,36.3505,32.1435,40.5575,-895575915.7323,1490398508.0000
2019-02-04,39.55,39.61,38.51,39.47,39.47,30851483,0.0000,1.0,36.0820,36.5083,59.1561,73.6615,78.6972,0.5117,0.7501,1.2618,20.9491,122.1807,95.0000,0.0000,36.0820,31.9964,40.1676,-879135002.1461,1515492534.0000
2019-02-01,38.31,39.86,38.23,39.6,39.6,36839947,0.0000,1.0,35.7435,36.1965,59.5476,71.9997,75.2357,0.5321,0.6221,1.1543,21.2139,141.0803,100.0000,0.0000,35.7435,31.7154,39.7716,-902133380.3825,1546344017.0000
2019-01-31,37.63,38.82,37.285,38.22,38.22,34130464,0.0000,1.0,35.3135,35.8383,56.6546,73.6522,67.0518,0.4979,0.4891,0.9870,21.4927,112.8804,80.0000,0.0000,35.3135,31.1889,39.4381,-927220706.2537,1509504070.0000
2019-01-30,38.3,38.76,37.59,38.24,38.24,32848056,0.0000,1.0,35.0400,35.5876,56.7105,79.6848,73.7117,0.5350,0.3646,0.8996,22.0915,129.5073,85.0000,5.0000,35.0400,30.9980,39.0820,-934669374.2927,1543634534.0000
2019-01-29,38.28,38.98,37.25,37.39,37.39,30330993,0.0000,1.0,34.7145,35.3084,54.9164,79.6803,80.1932,0.5422,0.2309,0.7730,22.6082,134.7962,90.0000,10.0000,34.7145,30.7074,38.7216,-938319158.2927,1510786478.0000
2019-01-28,36.95,38.96,36.65,38.08,38.08,44213030,0.0000,1.0,34.4235,35.0892,56.7295,70.8664,85.1495,0.5914,0.0953,0.6867,23.1521,156.6012,95.0000,0.0000,34.4235,30.3906,38.4564,-912897227.7436,1541117471.0000
2019-01-25,38.09,39.305,37.5,38.96,38.96,61042704,0.0000,1.0,34.1160,34.7744,59.0933,61.0227,73.6981,0.5489,-0.0525,0.4963,23.7300,211.7901,100.0000,0.0000,34.1160,30.3140,37.9180,-923424139.6484,1585330501.0000
2019-01-24,35.31,37.44,35.1,36.59,36.59,65094840,0.0000,1.0,33.7125,34.3338,54.2119,53.3535,53.7515,0.3462,-0.1898,0.1565,24.0479,129.6491,100.0000,5.0000,33.7125,30.3669,37.0581,-961131959.5708,1524287797.0000
2019-01-23,34.11,34.685,33.44,34.24,34.24,31011607,0.0000,1.0,33.3340,34.0963,48.4132,48.6982,55.6185,0.2381,-0.2763,-0.0382,24.8775,36.8058,65.0000,10.0000,33.3340,29.6778,36.9902,-978935676.4939,1459192957.0000
2019-01-22,35.25,35.25,33.55,33.87,33.87,37021938,0.0000,1.0,33.1380,34.0812,47.4172,34.8895,50.6906,0.2889,-0.3358,-0.0470,25.7014,45.4220,70.0000,15.0000,33.1380,29.2823,36.9937,-987778343.5501,1428181350.0000
2019-01-18,34.23,36.19,34.06,35.76,35.76,44872405,0.0000,1.0,33.0085,34.1034,52.3193,24.6723,39.7855,0.3884,-0.4081,-0.0197,26.6035,94.5653,75.0000,20.0000,33.0085,29.0864,36.9306,-964694076.3266,1465203288.0000
2019-01-17,33.23,34.2,32.66,33.88,33.88,29398501,0.0000,1.0,32.7910,33.9291,47.1569,26.9895,14.1923,0.3281,-0.5052,-0.1771,27.7129,32.6808,80.0000,25.0000,32.7910,29.0240,36.5580,-991448984.4721,1420330883.0000
2019-01-16,34.04,34.33,33.53,33.58,33.58,24890929,0.0000,1.0,32.8025,33.9342,46.2751,46.8313,20.0391,0.4032,-0.5872,-0.1840,28.1013,39.8783,85.0000,30.0000,32.8025,29.0209,36.5841,-1008629926.6150,1390932382.0000
2019-01-15,35.02,35.23,33.65,33.99,33.99,30633574,0.0000,1.0,32.8175,33.9715,47.2999,68.8162,46.7370,0.5284,-0.6880,-0.1596,28.7697,57.7984,90.0000,35.0000,32.8175,29.0213,36.6137,-986850363.7400,1415823311.0000
2019-01-14,34.72,34.92,34.26,34.67,34.67,34611955,0.0000,1.0,32.8280,33.9696,49.0099,81.4919,73.7177,0.6523,-0.8201,-0.1678,29.5096,69.8252,95.0000,40.0000,32.8280,29.0178,36.6382,-969400859.5628,1446456885.0000
2019-01-11,35.42,36.73,35.01,36.01,36.01,30469843,0.0000,1.0,32.8455,33.8958,52.5679,84.7136,85.9940,0.7380,-0.9831,-0.2451,30.4730,117.5330,100.0000,45.0000,32.8455,28.9985,36.6925,-977791636.5325,1481068840.0000
2019-01-10,35.26,35.95,35.08,35.91,35.91,24437350,0.0000,1.0,32.8465,33.6733,52.3225,83.7706,84.7640,0.6909,-1.1676,-0.4767,31.7228,106.4310,5.0000,50.0000,32.8465,28.9962,36.6968,-982751843.5325,1450598997.0000
2019-01-09,34.97,36.2901,34.92,35.44,35.44,54147856,0.0000,1.0,32.8115,33.4379,51.1952,77.5767,83.3829,0.5852,-1.3404,-0.7551,32.7438,103.3078,10.0000,55.0000,32.8115,29.0619,36.5611,-1004942080.8888,1426161647.0000
2019-01-08,34.55,34.585,32.805,33.74,33.74,33434082,0.0000,1.0,32.7795,33.2271,46.8791,72.4126,83.1650,0.4350,-1.4867,-1.0517,33.8185,32.7551,0.0000,60.0000,32.7795,29.1101,36.4489,-991896166.5281,1372013791.0000
2019-01-07,33.7,34.45,33.31,34.0,34.0,44841499,0.0000,1.0,32.8580,33.1731,47.4893,67.2769,66.1821,0.3536,-1.5954,-1.2418,34.2677,33.8676,0.0000,65.0000,32.8580,29.0454,36.6706,-993586653.8202,1405447873.0000
2019-01-04,31.66,33.04,31.55,32.7,32.7,28557302,0.0000,1.0,33.0415,33.0861,44.0287,73.8867,67.8908,0.1910,-1.6838,-1.4929,34.8724,-24.5507,0.0000,70.0000,33.0415,28.7089,37.3741,-1003026969.3992,1360606374.0000
2019-01-03,31.82,32.15,30.86,31.0,31.0,29145099,0.0000,1.0,33.2505,33.1267,39.0377,78.3191,67.7577,0.0723,-1.7316,-1.6592,34.8776,-64.4392,0.0000,75.0000,33.2505,28.6115,37.8895,-1018551408.7414,1332049072.0000
2019-01-02,31.0,33.08,30.75,32.75,32.75,26004300,0.0000,1.0,33.7020,33.3506,42.7672,78.8933,86.0117,0.0753,-1.7496,-1.6744,34.4416,-47.2625,5.0000,80.0000,33.7020,28.3276,39.0764,-995732377.7414,1361194171.0000
