,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Signal,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2012-05-29,214.3,216.55,212.29,214.75,214.75,2693900,0.0000,1.0,221.8665,216.3150,53.1637,37.3307,35.8453,2.3421,4.5099,-2.1678,19.7650,-103.2740,85.0000,0.0000,221.8665,210.7826,232.9504,1395516090.7830,733002753.0000
2012-05-25,214.99,215.98,212.22,212.89,212.89,2171400,0.0000,1.0,222.7240,216.4797,51.6859,35.5763,33.1268,2.7708,5.0518,-2.2810,20.4278,-129.8477,90.0000,5.0000,222.7240,211.3258,234.1222,1395098725.9942,730308853.0000
2012-05-24,216.98,217.66,212.7,215.24,215.24,3141100,0.0000,1.0,223.4220,216.8576,53.7204,34.6289,27.0689,3.4670,5.6221,-2.1550,21.1809,-129.5505,0.0000,10.0000,223.4220,212.8375,234.0065,1396496275.9942,732480253.0000
2012-05-23,214.71,217.55,211.18,217.28,217.28,4243800,0.0000,1.0,222.4595,217.0279,55.5228,29.1752,19.7218,4.0660,6.1608,-2.0948,21.9226,-86.3830,0.0000,15.0000,222.4595,206.7930,238.1260,1396420281.6394,735621353.0000
2012-05-22,218.31,218.87,213.96,215.33,215.33,3733100,0.0000,1.0,221.3165,217.0013,54.1251,17.4026,13.5697,4.5636,6.6846,-2.1209,22.7130,-50.6603,0.0000,20.0000,221.3165,201.5152,241.1178,1392536238.6253,731377553.0000
2012-05-21,214.03,219.98,212.82,218.11,218.11,3579800,0.0000,1.0,220.0665,217.1772,56.5311,12.5875,15.1603,5.3310,7.2148,-1.8838,23.2620,-22.9034,0.0000,25.0000,220.0665,196.1770,243.9560,1394186101.5580,735110653.0000
2012-05-18,219.41,219.63,212.81,213.85,213.85,5231700,0.0000,1.0,218.5730,217.0791,53.5235,10.7189,22.3288,5.9498,7.6857,-1.7360,23.8399,-18.8170,5.0000,30.0000,218.5730,190.9396,246.2064,1392476197.0888,731530853.0000
2012-05-17,225.05,226.0,218.09,218.36,218.36,4505500,0.0000,1.0,217.3795,217.4190,57.5266,22.1744,35.8749,7.0868,8.1197,-1.0330,24.4748,17.6075,10.0000,35.0000,217.3795,187.0982,247.6608,1396112305.2999,736762553.0000
2012-05-16,225.0,228.0,222.5,224.06,224.06,5261800,0.0000,1.0,216.0165,217.3199,63.2021,34.0931,49.3235,7.9757,8.3780,-0.4023,24.6150,40.4470,15.0000,40.0000,216.0165,183.6521,248.3809,1400310223.7576,741268053.0000
2012-05-15,226.5,230.61,223.0,224.39,224.39,5713700,0.0000,1.0,214.3670,216.6104,63.5469,51.3571,58.2943,8.4140,8.4785,-0.0646,24.2708,48.9582,20.0000,45.0000,214.3670,180.4834,248.2506,1402587148.1212,746529853.0000
