,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2015-11-04,227.0,232.74,225.2,231.63,46.326,12726366,0.0000,1.0,43.3037,43.9772,51.7219,69.5144,53.8738,-1.6300,-1.2500,0.3801,29.1106,160.8405,45.0000,0.0000,40.4760,43.3037,46.1314,369313611.6787,1279120540.0000
2015-11-03,213.85,214.44,207.75,208.35,41.67,8332486,0.0000,1.0,43.3070,43.7300,39.0534,45.1345,44.3473,-1.7251,-1.6583,0.0668,30.0315,-77.3774,50.0000,0.0000,40.4651,43.3070,46.1489,324416882.8193,1215488710.0000
2015-11-02,208.92,215.8,207.22,213.79,42.758,3927944,0.0000,1.0,43.6381,43.9468,41.4691,46.9725,43.6808,-1.7417,-1.6813,0.0605,29.5330,-60.0114,55.0000,0.0000,40.1636,43.6381,47.1126,358606231.2050,1257151140.0000
2015-10-30,210.4,211.63,203.89,206.93,41.386,4438901,0.0000,1.0,43.9617,44.0719,36.7848,40.9348,43.1671,-1.7569,-1.7969,-0.0401,29.0083,-101.3438,60.0000,5.0000,39.7484,43.9617,48.1750,348168338.0581,1237511420.0000
2015-10-29,211.75,213.7481,210.64,211.63,42.326,1805032,0.0000,1.0,44.3681,44.3547,38.8062,43.1352,41.0540,-1.7468,-1.7787,-0.0319,28.0581,-70.8488,65.0000,10.0000,39.6851,44.3681,49.0511,352928399.8540,1259705925.0000
2015-10-28,211.31,213.45,208.3,212.96,42.592,2728593,0.0000,1.0,44.6506,44.5682,39.3881,45.4313,38.6219,-1.7389,-1.8253,-0.0864,27.3112,-77.9346,70.0000,0.0000,39.8153,44.6506,49.4859,356204125.5372,1268731085.0000
2015-10-27,214.84,217.1,207.51,210.35,42.07,3519449,0.0000,1.0,45.0050,44.7762,37.6450,34.5954,32.9693,-1.7173,-1.8853,-0.1680,26.4963,-82.6562,75.0000,0.0000,39.8003,45.0050,50.2097,345157297.5663,1255088120.0000
2015-10-26,211.38,215.88,210.0,215.26,43.052,3391438,0.0000,1.0,45.3680,45.0611,39.6846,35.8390,32.4304,-1.6753,-1.8813,-0.2060,25.6385,-77.1338,80.0000,0.0000,40.0219,45.3680,50.7141,352331982.4412,1272685365.0000
2015-10-23,215.0,215.35,207.69,209.09,41.818,4235462,0.0000,1.0,45.6997,45.2726,35.5137,28.4734,37.1904,-1.6237,-1.9488,-0.3251,24.8250,-98.4930,85.0000,0.0000,40.1502,45.6997,51.2492,338950798.4956,1255728175.0000
2015-10-22,211.56,215.75,209.4,211.72,42.344,2825159,0.0000,1.0,46.1779,45.6362,36.5368,32.9788,50.4403,-1.5425,-1.8810,-0.3385,23.9238,-96.2408,90.0000,5.0000,40.4050,46.1779,51.9508,352387055.2319,1276905485.0000
