,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2018-11-28,55.89,56.72,54.69,56.65,52.4898086456,17483506,0.0000,1.0,53.6091,53.5400,37.1178,74.4594,60.4818,-2.5986,0.2981,-2.3005,37.6638,-38.9058,60.0000,25.0000,46.7154,60.5028,53.6091,1618756354.2799,-28730433.0000
2018-11-27,55.59,56.23,55.35,55.57,51.4891203254,9719306,0.0000,1.0,53.9116,53.6505,32.6585,55.5190,49.9848,-2.6731,0.1616,-2.5115,37.8254,-48.8167,65.0000,30.0000,46.7165,61.1067,53.9116,1602478607.3152,-46213939.0000
2018-11-26,55.79,56.38,55.18,55.73,51.6373704469,10373671,0.0000,1.0,54.2174,53.8780,32.9878,51.4671,45.7234,-2.7135,0.0711,-2.6424,38.1515,-52.6047,70.0000,35.0000,46.9408,61.4940,54.2174,1607338260.3163,-36494633.0000
2018-11-23,54.77,55.745,54.75,55.25,51.1926200824,4671883,0.0000,1.0,54.5301,54.1139,31.0055,42.9681,44.7437,-2.7313,-0.0548,-2.7861,38.4948,-66.7690,75.0000,40.0000,47.1866,61.8736,54.5301,1608202732.9012,-46868304.0000
2018-11-21,55.21,56.5,55.18,55.27,51.2111513476,13015508,0.0000,1.0,54.8984,54.4214,31.0418,42.7350,46.5847,-2.7176,-0.1660,-2.8837,38.5724,-66.1878,80.0000,0.0000,47.5226,62.2742,54.8984,1608179256.1021,-42196421.0000
2018-11-20,54.2,55.43,54.07,54.92,50.8868542068,20658304,0.0000,1.0,55.2389,54.7593,29.6711,48.5280,44.6296,-2.6761,-0.2921,-2.9682,38.7437,-88.6873,85.0000,0.0000,47.9471,62.5307,55.2389,1619419922.1031,-55211929.0000
2018-11-19,55.85,56.62,54.87,54.9,50.8683229416,20321370,0.0000,1.0,55.7698,55.1670,29.5952,48.4911,33.4304,-2.6031,-0.3967,-2.9999,38.4373,-88.0581,90.0000,5.0000,48.2793,63.2604,55.7698,1614255346.1031,-75870233.0000
2018-11-16,55.12,57.04,54.99,55.88,51.7763549359,57303280,0.0000,1.0,56.2896,55.6194,31.1621,36.8696,17.9229,-2.5039,-0.4908,-2.9948,38.2636,-91.2618,95.0000,10.0000,48.7890,63.7903,56.2896,1633879983.4170,-55548863.0000
2018-11-15,53.83,55.54,53.53,55.39,51.3223389387,18856314,0.0000,1.0,56.7288,56.0240,29.3862,14.9304,6.5489,-2.3812,-0.6559,-3.0371,38.1033,-129.1568,100.0000,15.0000,49.3084,64.1492,56.7288,1641427244.6840,-112852143.0000
2018-11-14,54.84,54.89,53.67,53.94,49.9788222126,14071939,0.0000,1.0,57.1810,56.5189,23.8646,1.9687,3.1037,-2.2172,-0.7836,-3.0008,37.2259,-172.5039,100.0000,20.0000,50.0365,64.3255,57.1810,1625385305.9095,-131708457.0000
2018-11-13,54.74,55.49,54.05,54.16,50.1826661297,20883770,0.0000,1.0,57.7443,57.2073,24.1366,2.7475,8.9281,-2.0213,-0.7528,-2.7741,35.9699,-214.9939,100.0000,25.0000,51.2095,64.2792,57.7443,1633228681.7462,-117636518.0000
2018-11-12,56.37,56.5,54.43,54.49,50.4884320053,24447787,0.0000,1.0,58.2984,57.9467,24.5352,4.5950,21.4061,-1.8331,-0.6319,-2.4650,34.6952,-269.1891,100.0000,30.0000,52.5959,64.0009,58.2984,1650921875.7720,-96752748.0000
2018-11-09,57.78,58.24,56.19,56.72,52.5546680738,21745221,0.0000,1.0,58.7469,58.7318,27.4444,19.4418,39.4709,-1.6751,-0.3907,-2.0659,33.4007,-277.9023,100.0000,35.0000,54.2990,63.1948,58.7469,1673952399.7567,-72304961.0000
2018-11-08,58.0,60.15,57.6,58.05,53.7869972088,32155154,0.0000,1.0,59.0976,59.3821,29.4209,40.1816,55.0998,-1.5775,-0.1593,-1.7367,32.2739,-271.9579,100.0000,0.0000,55.6686,62.5266,59.0976,1684453750.3857,-50559740.0000
2018-11-07,63.5,63.75,62.28,63.21,58.5680636273,18493450,0.0000,1.0,59.3867,59.9710,40.0530,58.7894,65.1608,-1.5376,0.1208,-1.4168,31.3051,-63.0080,60.0000,0.0000,56.9726,61.8008,59.3867,1705260026.5016,-18404586.0000
2018-11-06,63.35,64.34,62.41,63.63,58.9572201963,8774149,0.0000,1.0,59.5498,60.1187,41.2044,66.3285,69.2446,-1.5679,0.0932,-1.4747,31.3368,-48.3703,65.0000,0.0000,56.9457,62.1538,59.5498,1700353600.9922,88864.0000
2018-11-05,63.08,63.8,62.66,63.47,58.8089700748,13373798,0.0000,1.0,59.8509,60.2410,40.5862,70.3646,67.5514,-1.5911,0.0244,-1.5667,31.4095,-61.5345,70.0000,0.0000,56.3516,63.3502,59.8509,1698035043.4845,-8685285.0000
2018-11-02,63.94,63.96,62.34,63.33,58.6792512185,13707886,0.0000,1.0,60.1965,60.3917,40.0624,71.0407,57.4480,-1.5972,-0.0491,-1.6463,31.1815,-70.8753,75.0000,0.0000,55.9021,64.4909,60.1965,1692403970.6424,-22059083.0000
2018-11-01,63.2,64.31,62.88,63.71,59.031345257,11003853,0.0000,1.0,60.5616,60.5719,40.9944,61.2489,42.4659,-1.5850,-0.1258,-1.7108,30.9415,-62.3204,80.0000,0.0000,55.6483,65.4748,60.5616,1689357773.7526,-8351197.0000
2018-10-31,62.91,63.52,62.07,62.89,58.2715633843,12917453,0.0000,1.0,60.9632,60.7341,38.0397,40.0545,28.5491,-1.5535,-0.2505,-1.8040,30.8304,-88.6748,85.0000,0.0000,55.3522,66.5743,60.9632,1687587923.2707,-19355050.0000
