,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2013-08-06,39.11,39.25,37.94,38.55,38.55,63950800,0.0000,1.0,30.9510,32.5184,79.8930,87.0504,86.2785,3.6042,0.9256,2.6786,35.9384,97.9134,95.0000,0.0000,30.9510,20.0496,41.8524,-877706391.6933,1102559900.0000
2013-08-05,38.43,39.32,38.25,39.189,39.189,79994800,0.0000,1.0,30.2975,31.8835,83.3027,89.8731,85.3463,3.5223,1.0751,2.4472,33.9831,115.9645,100.0000,0.0000,30.2975,19.7349,40.8601,-873312825.2811,1166510700.0000
2013-08-02,37.66,38.49,37.5,38.05,38.05,73058500,0.0000,1.0,29.5735,31.1144,82.0020,81.9120,85.1637,3.3014,1.1229,2.1784,31.7042,122.5135,100.0000,0.0000,29.5735,19.5783,39.5688,-933720113.5054,1086515900.0000
2013-08-01,37.3,38.29,36.92,37.489,37.489,106066500,0.0000,1.0,28.8895,30.3844,81.3211,84.2538,89.5970,3.0874,1.1897,1.8977,29.3838,139.1940,95.0000,0.0000,28.8895,19.4514,38.3277,-941837724.6165,1013457400.0000
2013-07-31,37.96,38.31,36.33,36.8,36.8,154828700,0.0000,1.0,28.2411,29.6365,80.4587,89.3251,92.9365,2.8265,1.2262,1.6003,26.9608,164.4207,100.0000,5.0000,28.2411,19.4989,36.9833,-923876098.3391,907390900.0000
2013-07-30,35.65,37.96,35.32,37.627,37.627,173582800,0.0000,1.0,27.6216,28.8825,84.9304,95.2119,92.3466,2.5225,1.2287,1.2938,24.4102,209.9450,100.0000,10.0000,27.6216,19.6733,35.5699,-842551932.6825,1062219600.0000
2013-07-29,34.07,35.63,34.01,35.43,35.43,124718800,0.0000,1.0,26.9807,27.9620,82.4718,94.2725,84.7291,2.0136,1.0270,0.9866,21.7574,241.6002,100.0000,15.0000,26.9807,20.4163,33.5452,-972344526.3189,888636800.0000
2013-07-26,33.77,34.73,33.56,34.01,34.01,136028900,0.0000,1.0,26.4532,27.1759,80.5204,87.5552,71.1277,1.5585,0.8286,0.7298,19.2107,331.8609,95.0000,20.0000,26.4532,21.1069,31.7996,-1066268560.8868,763918000.0000
2013-07-25,33.545,34.88,32.75,34.359,34.359,365457900,0.0000,1.0,25.9857,26.4565,82.6693,72.3596,53.7694,1.0995,0.5768,0.5227,16.6445,514.9281,100.0000,0.0000,25.9857,21.8709,30.1006,-1034877276.2714,899946900.0000
2013-07-24,26.32,26.53,26.05,26.51,26.51,82635600,0.0000,1.0,25.4758,25.6247,59.6780,53.4683,42.1767,0.4621,0.0836,0.3785,13.9433,86.1851,75.0000,5.0000,25.4758,23.8834,27.0682,-1221552485.2855,534489000.0000
2013-07-23,26.1,26.3,25.97,26.13,26.13,28221600,0.0000,1.0,25.3628,25.5315,57.0579,35.4802,42.7160,0.4410,0.0835,0.3576,13.7477,73.1671,80.0000,0.0000,25.3628,23.7593,26.9663,-1297301785.2855,451853400.0000
2013-07-22,25.99,26.13,25.72,26.045,26.045,27526300,0.0000,1.0,25.2530,25.4685,56.4567,37.5816,54.0413,0.4464,0.1097,0.3367,13.7276,65.1417,85.0000,5.0000,25.2530,23.5758,26.9303,-1296446585.2855,423631800.0000
2013-07-19,25.82,26.1077,25.6,25.881,25.881,46539700,0.0000,1.0,25.1773,25.4078,55.3097,55.0862,68.8957,0.4555,0.1462,0.3093,13.8466,63.3856,90.0000,10.0000,25.1773,23.5132,26.8414,-1312559541.3831,396105500.0000
2013-07-18,26.75,26.77,26.12,26.18,26.18,24806900,0.0000,1.0,25.0782,25.3580,57.9537,69.4561,78.3683,0.4771,0.2044,0.2727,13.9900,114.8083,95.0000,15.0000,25.0782,23.3586,26.7979,-1317537098.4246,442645200.0000
2013-07-17,26.37,26.78,26.3,26.65,26.65,21518500,0.0000,1.0,24.9847,25.2715,62.4086,82.1448,85.5534,0.4673,0.2457,0.2216,13.5908,155.9315,100.0000,20.0000,24.9847,23.3120,26.6574,-1297309933.8092,467452100.0000
2013-07-16,26.39,26.75,26.01,26.32,26.32,30817600,0.0000,1.0,24.8627,25.1264,60.3770,83.5042,89.5010,0.4002,0.2400,0.1602,12.9662,168.8376,100.0000,25.0000,24.8627,23.3449,26.3805,-1307172579.6426,445933600.0000
2013-07-15,25.93,26.43,25.65,26.28,26.28,24234000,0.0000,1.0,24.7478,25.0007,60.1288,91.0113,93.5454,0.3423,0.2421,0.1002,12.3287,179.0999,100.0000,0.0000,24.7478,23.3451,26.1505,-1302175130.9939,415116000.0000
2013-07-12,25.74,25.93,25.55,25.91,25.91,16537900,0.0000,1.0,24.6153,24.8661,57.8069,93.9875,91.9861,0.2674,0.2278,0.0397,11.8717,170.5913,95.0000,5.0000,24.6153,23.3200,25.9106,-1317088361.7632,390882000.0000
2013-07-11,25.96,26.0,25.45,25.81,25.81,26777400,0.0000,1.0,24.5063,24.7562,57.1664,95.6375,81.2079,0.2057,0.2230,-0.0173,11.7548,198.1647,100.0000,10.0000,24.5063,23.3014,25.7112,-1331885430.1842,374344100.0000
2013-07-10,25.58,25.83,25.47,25.8,25.8,26721800,0.0000,1.0,24.4043,24.6453,57.1046,86.3332,63.3687,0.1341,0.2071,-0.0730,11.6319,227.1121,100.0000,15.0000,24.4043,23.3187,25.4899,-1340162081.0933,347566700.0000
2013-07-09,25.07,25.49,25.03,25.48,25.48,30387900,0.0000,1.0,24.3158,24.5237,55.1349,61.6529,46.1550,0.0418,0.1666,-0.1248,11.6274,203.8877,100.0000,20.0000,24.3158,23.4294,25.2022,-1362430247.7600,320844900.0000
2013-07-08,24.47,25.04,24.42,24.71,24.71,27064600,0.0000,1.0,24.2583,24.4230,49.8735,42.1199,42.9965,-0.0441,0.1224,-0.1664,11.8801,105.8236,40.0000,0.0000,24.2583,23.5502,24.9664,-1391496934.7165,290457000.0000
2013-07-05,24.65,24.66,24.2,24.37,24.37,20229500,0.0000,1.0,24.1873,24.3928,47.2800,34.6922,52.2484,-0.0746,0.1224,-0.1970,12.4974,43.6173,45.0000,0.0000,24.1873,23.3951,24.9796,-1389750831.4907,263392400.0000
